Romeral8,16170,13,80.4,10,61.8,9,55.7,O,0,0,1,2,0,0,10,0
Sagrada Familia& ,19469 ,2 ,10.3 ,1 ,5.1 ,1 ,5.1 ,O ,0 ,O ,O ,0 ,1 ,0 ,1 ,O 
San Clemente& ,46292 ,9 ,19.4 ,8 ,17.3 ,8 ,17.3 ,O ,O ,O ,O ,0 ,O ,2 ,7 ,0 
San Javier& ,49451 ,20 ,40.4 ,10 ,20.2 ,10 ,20.2 ,0 ,0 ,0 ,0 ,2 ,7 ,4 ,7 ,0 
San Rafael& ,9959 ,3 ,30.1 ,1 ,10.0 ,1 ,10.0 ,O ,O ,0 ,O ,1 ,O ,1 ,1 ,0 
Talca& ,236724 ,145 ,61.3 ,83 ,35.1 ,82 ,34.6 ,0O ,3 ,9 ,13 ,19 ,11 ,15 ,70 ,5 
Teno ,30850 ,2 ,6.5 ,1 ,3.2 ,0 ,0.0 ,O ,O ,0 ,O ,O ,O ,1 ,1 ,O 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 
Villa Alegre ,17512 ,1 ,5.7 ,1 ,5.7 ,1 ,5.7 ,O ,O ,0 ,O ,O ,0 ,1 ,0 ,0 
Yerbas Buenas ,19200 ,1 ,5.2 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,0 ,1 ,0 ,0 
Total ,1131939 ,359 ,31.7 ,187 ,16.5 ,183 ,16.2 ,1 ,4 ,11 ,26 ,51 ,47 ,62 ,149 ,8 
