Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,10182 ,2391.7 ,517 ,121.4 ,514 ,120.7 
Calama ,& 190336 ,7316 ,3843.7 ,188 ,98.8 ,185 ,97.2 
Maria Elena ,6814 ,348 ,5107.1 ,7 ,102.7 ,7 ,102.7 
Mejillones ,14776 ,560 ,3789.9 ,18 ,121.8 ,18 ,121.8 
Ollague ,287 ,24 ,8362.4 ,0 ,0.0 ,O ,0.0 
San Pedro de Atacama ,10434 ,344 ,3296.9 ,17 ,162.9 ,17 ,162.9 
Sierra Gorda ,1746 ,80 ,4581.9 ,1 ,57.3 ,1 ,57.3 
Taltal ,13657 ,168 ,1230.1 ,0 ,0.0 ,0 ,0.0 
Tocopilla ,28079 ,333 ,1185.9 ,12 ,42.7 ,12 ,42.7 
Desconocido ,& - ,285 ,- ,18 ,- ,18 ,- 
Total ,691854 ,19640 ,2838.7 ,778 ,112.5 ,772 ,111.6 
