Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,4146 ,21.3 ,13.3 
XV Arica y Parinacota ,47 ,18.6 ,127 
I Tarapaca ,42 ,11.0 ,9.5 
II Antofagasta ,143 ,20.7 ,19.0 
III Atacama ,46 ,14.6 ,103 
IV Coquimbo ,74 ,8.9 ,5.1 
V Valparaiso ,427 ,218 ,11.6 
Region Metropolitana ,2568 ,31.6 ,21.5 
VI O'Higgins ,180 ,18.2 ,10.6 
VII Maule ,162 ,14.3 ,8.2 
XVI De Nuble ,46 ,90 ,4.3 
VIII Del Biobio ,157 ,94 ,5.7 
IX Araucania ,123 ,12.1 ,6.3 
XIV Los Rios ,21 ,5.2 ,2.5 
X Los Lagos ,68 ,7.6 ,48 
XI Aysen ,4 ,3.7 ,2.4 
XII Magallanes y la Anta ,37 ,20.7 ,12.5 
Ignorada ,1 ,0.0 ,0.0 
