Peumo,&,14952,60,401.3,4,26.8,19,,127.1,19,127.1
Pichidegua ,& ,20743 ,139 ,670.1 ,4 ,19.3 ,20 ,,96.4 ,20 ,96.4 
Pichilemu ,,17882 ,54 ,302.0 ,0 ,0.0 ,5 ,,28.0 ,5 ,28.0 
Placilla ,,9164 ,62 ,676.6 ,O ,0.0 ,9 ,,98.2 ,9 ,98.2 
Pumanque ,,3531 ,4 ,113.3 ,0 ,0.0 ,0 ,,0.0 ,0 ,0.0 
Quinta de Tilcoco ,& ,13877 ,95 ,684.6 ,3 ,21.6 ,16 ,,115.3 ,16 ,115.3 
Rancagua ,& ,265211 ,5480 ,2066.3 ,86 ,32.4 ,397 ,,149.7 ,396 ,149.3 
Rengo ,& ,63710 ,910 ,1428.3 ,12 ,18.8 ,146 ,,229.2 ,145 ,227.6 
Requinoa ,& ,30371 ,365 ,1201.8 ,6 ,19.8 ,30 ,,98.8 ,30 ,98.8 
San Fernando ,& ,78642 ,393 ,499.7 ,7 ,8.9 ,75 ,,95.4 ,75 ,95.4 
San Vicente ,& ,50617 ,406 ,802.1 ,9 ,17.8 ,62 ,,122.5 ,62 ,122.5 
Santa Cruz ,& ,41096 ,166 ,403.9 ,6 ,14.6 ,25 ,,60.8 ,25 ,60.8 
Desconocido ,& ,- ,86 ,- ,O ,- ,8 ,,- ,8 ,- 
Total ,,991063 ,11930 ,1203.8 ,200 ,20.2 ,1221 ,,123.2 ,1219 ,123.0 
