Region,Poblacion,Confirmados,Tasaincidencia
Andacollo ,11.791 ,- ,"0,0 "
Canela ,9.546 ,- ,"0,0 "
Combarbala ,13.884 ,- ,"0,0 "
Coquimbo ,256.735 ,19 ,"7,4 "
Illapel ,32.801 ,12 ,"36,6 "
La Higuera ,4.450 ,- ,"0,0 "
La Serena ,249.656 ,12 ,"4,8 "
Los Vilos ,23.374 ,- ,"4,3 "
Monte Patria ,32.527 ,- ,"0,0 "
Ovalle ,121.269 ,7 ,"5,8 "
Paiguano ,4.675 ,- ,"0,0 "
Punitaqui ,12.165 ,- ,"0,0 "
Rio Hurtado ,4.372 ,- ,"22,9 "
Salamanca ,29.110 ,4 ,"13,7 "
Vicuna ,29.741 ,- ,"0,0 "
Total ,836.096 ,56 ,"6,7 "
