Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& 15925 ,242 ,1519.6 ,20 ,125.6 ,20 ,125.6 
Chimbarongo ,& 37696 ,291 ,772.0 ,12 ,31.8 ,12 ,31.8 
Codegua ,& 14096 ,337 ,2390.7 ,17 ,120.6 ,17 ,120.6 
Coinco ,& 7831 ,166 ,2119.8 ,4 ,51.1 ,4 ,51.1 
Coltauco ,& 21263 ,437 ,2055.2 ,8 ,37.6 ,8 ,37.6 
Donihue ,& 22700 ,574 ,2528.6 ,26 ,114.5 ,26 ,114.5 
Graneros ,& 36504 ,731 ,2002.5 ,49 ,134.2 ,49 ,134.2 
La Estrella ,3114 ,39 ,1252.4 ,O ,0.0 ,O ,0.0 
Las Cabras ,& 26749 ,546 ,2041.2 ,58 ,216.8 ,58 ,216.8 
Litueche ,6765 ,98 ,1448.6 ,2 ,29.6 ,2 ,29.6 
Lolol ,7289 ,74 ,1015.2 ,O ,0.0 ,O ,0.0 
Machali ,& 59913 ,1209 ,2017.9 ,30 ,50.1 ,30 ,50.1 
Malloa ,14163 ,211 ,1489.8 ,23 ,162.4 ,23 ,162.4 
Marchihue ,& 7632 ,44 ,576.5 ,O ,0.0 ,O ,0.0 
Mostazal ,& 27462 ,383 ,1394.7 ,17 ,61.9 ,17 ,61.9 
Nancagua ,19141 ,197 ,1029.2 ,15 ,78.4 ,15 ,78.4 
Navidad ,6904 ,77 ,1115.3 ,O ,0.0 ,O ,0.0 
Olivar ,& 14624 ,320 ,2188.2 ,28 ,191.5 ,28 ,191.5 
Palmilla ,& 13299 ,180 ,1353.5 ,10 ,75.2 ,10 ,75.2 
Paredones ,6349 ,38 ,598.5 ,1 ,15.8 ,1 ,15.8 
Peralillo ,& 11848 ,105 ,886.2 ,11 ,92.8 ,11 ,92.8 
