Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,110 ,932.9 ,21 ,178.1 ,21 ,178.1 
Canela ,9546 ,78 ,817.1 ,9 ,94.3 ,9 ,94.3 
Combarbala ,13884 ,69 ,497.0 ,4 ,28.8 ,4 ,28.8 
Coquimbo ,& 256735 ,4204 ,1637.5 ,351 ,136.7 ,349 ,135.9 
Illapel ,32801 ,419 ,1277.4 ,19 ,57.9 ,19 ,57.9 
La Higuera ,4450 ,99 ,2224.7 ,1 ,22.5 ,1 ,22.5 
La Serena ,& 249656 ,3369 ,1349.5 ,254 ,101.7 ,253 ,101.3 
LOs Vilos ,23374 ,246 ,1052.5 ,24 ,102.7 ,24 ,102.7 
Monte Patria ,& 32527 ,440 ,1352.7 ,33 ,101.5 ,33 ,101.5 
Ovalle ,& 121269 ,2250 ,1855.4 ,215 ,177.3 ,214 ,176.5 
Paiguano ,4675 ,20 ,427.8 ,O ,0.0 ,O ,0.0 
Punitaqui ,12165 ,157 ,1290.6 ,17 ,139.7 ,17 ,139.7 
Rio Hurtado ,4372 ,43 ,983.5 ,1 ,22.9 ,1 ,22.9 
Salamanca ,29110 ,206 ,707.7 ,17 ,58.4 ,17 ,58.4 
Vicuna ,29741 ,240 ,807.0 ,33 ,111.0 ,32 ,107.6 
Desconocido ,& ,140 ,- ,2 ,- ,2 ,
Total ,836096 ,12090 ,1446.0 ,1001 ,119.7 ,996 ,119.1 
