Grupoedad,Hombre,Mujer
00 04 anos ,2058 ,1903 
05 09 anos ,1573 ,1483 
10 14 anos ,1851 ,1827 
15 19 anos ,3286 ,3718 
20 24 anos ,9355 ,9144 
25 29 anos ,15283 ,14731 
30 34 anos ,15456 ,13729 
35 39 anos ,12873 ,11028 
40 44 anos ,10562 ,9132 
45 49 anos ,10289 ,9685 
50 54 anos ,9839 ,8966 
55 59 anos ,9217 ,8106 
60 64 anos ,6764 ,5626 
65 69 anos ,4180 ,3680 
70 74 anos ,2948 ,2813 
75 79 anos ,2022 ,2122 
80 y mas anos ,2334 ,3769 
