Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,1 ,6.6 ,1 ,6.6 
La Union ,& 39538 ,105 ,265.6 ,0 ,0.0 ,0 ,0.0 
Lago Ranco ,10292 ,8 ,77.7 ,0 ,0.0 ,O ,0.0 
Lanco ,17652 ,38 ,215.3 ,6 ,34.0 ,6 ,34.0 
Los Lagos ,20518 ,63 ,307.0 ,0 ,0.0 ,0 ,0.0 
Mafil ,& 7389 ,34 ,460.1 ,4 ,54.1 ,4 ,54.1 
Mariquina ,23250 ,40 ,172.0 ,2 ,8.6 ,2 ,8.6 
Paillaco ,20798 ,39 ,187.5 ,1 ,4.8 ,1 ,4.8 
Panguipulli ,& 35991 ,68 ,188.9 ,0 ,0.0 ,0 ,0.0 
Rio Bueno ,& 32925 ,62 ,188.3 ,10 ,30.4 ,10 ,30.4 
Valdivia ,& 176774 ,525 ,297.0 ,36 ,20.4 ,36 ,20.4 
Desconocido ,& - ,7 ,- ,O ,- ,O ,- 
Total ,405835 ,1077 ,265.4 ,60 ,14.8 ,60 ,14.8 
