Regionderesidencia,Defunciones,Tasaobservada,Tasaajustada
Chile ,10159 ,52.2 ,32.7 
De Arica Y Parinacota ,43 ,17.1 ,11.8 
De Tarapaca ,140 ,36.6 ,31.8 
De Antofagasta ,291 ,42.1 ,38.4 
De Atacama ,18 ,5.7 ,4.1 
De Coquimbo ,74 ,8.9 ,5.0 
De Valparaiso ,602 ,30.7 ,16.6 
Metropolitana de Santiago ,7911 ,97.4 ,66.3 
Del Libertador Gral Bernardo O Higgins ,216 ,21.8 ,13.4 
Del Maule ,219 ,19.3 ,11.1 
De Nuble ,73 ,14.3 ,7.3 
Del Biobio ,192 ,11.5 ,6.9 
De La Araucania ,181 ,17.8 ,9.6 
De LOs Rios ,52 ,12.8 ,6.8 
De LOs Lagos ,83 ,9.3 ,5.7 
De Aisen Del Gral C Ibanez Del Campo ,5 ,4.7 ,3.5 
De Magallanes y de La Antartica Chilena ,58 ,32.5 ,19.2 
Ignorada ,1 ,- ,
