Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,36 ,628.4 ,1 ,17.5 ,1 ,17.5 
Caldera ,19426 ,269 ,1384.7 ,19 ,97.8 ,19 ,97.8 
Chanaral ,& 13164 ,140 ,1063.5 ,33 ,250.7 ,33 ,250.7 
Copiapo ,& 171766 ,4004 ,2331.1 ,162 ,94.3 ,162 ,94.3 
Diego de Almagro ,& 14358 ,179 ,1246.7 ,36 ,250.7 ,36 ,250.7 
Freirina ,7681 ,130 ,1692.5 ,8 ,104.2 ,8 ,104.2 
Huasco ,& 11264 ,87 ,772.4 ,13 ,115.4 ,13 ,115.4 
Tierra Amarilla ,14312 ,338 ,2361.7 ,23 ,160.7 ,23 ,160.7 
Vallenar ,& 57009 ,802 ,1406.8 ,117 ,205.2 ,117 ,205.2 
Desconocido ,& - ,36 ,- ,2 ,- ,2 ,- 
Total ,314709 ,6021 ,1913.2 ,414 ,131.6 ,414 ,131.6 
