Comuna,CasesNuevos,Proporciondeinvestigados,casosnuevosantesde48hrs,Proporcioncon,decasoscontactosidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Totales ,Investigados ,% ,Casos con contactos ,% ,Contactos Nuevos ,Investigados ,% 
Arica ,434 ,360 ,829 ,370 ,853 ,1323 ,465 ,351 
Camarones ,1 ,O ,0 ,1 ,100 ,- ,- ,- 
General Lagos ,2 ,2 ,100 ,2 ,100 ,- ,- ,- 
Putre ,10 ,9 ,90 ,7 ,700 ,10 ,9 ,90 
Total ,447 ,371 ,830 ,380 ,850 ,1.333 ,474 ,356 
