Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,O ,0.0 
9 ,30 ,O ,0.2 
10 ,118 ,1 ,0.6 
11 ,601 ,30 ,3.1 
12 ,2420 ,119 ,12.4 
13 ,4256 ,631 ,21.9 
14 ,4961 ,2539 ,25.5 
15 ,5542 ,4887 ,28.5 
16 ,6918 ,7500 ,35.6 
17 ,10278 ,10429 ,52.8 
18 ,20207 ,14418 ,103.8 
19 ,39832 ,20707 ,204.7 
20 ,59794 ,34625 ,307.3 
21 ,72389 ,60539 ,372.0 
22 ,78207 ,94419 ,401.9 
23 ,81767 ,132928 ,420.2 
24 ,78583 ,172626 ,403.9 
