Treguaco,5696,2,35.1,1,17.6,1,17.6,OO,0,0,0,O,OO0,O01,O,O,10
Yungay ,18596 ,67 ,360.3 ,7 ,37.6 ,7 ,37.6 ,O 0 ,0 ,3 ,16 ,21 ,3 4 6 ,2 2 2 ,0 ,7 ,1 0 
Total ,511551 ,1566 ,306.1 ,310 ,60.6 ,309 ,60.4 ,0 1 ,35 ,168 ,219 ,165 ,74 60 50 ,39 74 176 ,164 ,199 ,142 0 
