LasCondes&,330759,2747,830.5,554,167.5,551,166.6,01959,12265,3734,28,65,225,455,627,635,34035
Lo Barnechea& ,124076 ,1366 ,1100.9 ,206 ,166.0 ,206 ,166.0 ,O 2 14 ,52 27 ,18 36 ,35 ,64 ,136 ,236 ,303 ,303 ,122 18 
Lo Espejo& ,103865 ,1491 ,1435.5 ,260 ,250.3 ,253 ,243.6 ,O 0 1 ,5 7 ,25 28 ,22 ,57 ,154 ,327 ,407 ,284 ,168 6 
Lo Prado& ,104403 ,1347 ,1290.2 ,164 ,157.1 ,159 ,152.3 ,0 1 3 ,5 19 ,14 21 ,30 ,100 ,172 ,317 ,354 ,204 ,101 6 
Macul& ,134635 ,1909 ,1417.9 ,299 ,222.1 ,296 ,219.9 ,O 1 3 ,15 21 ,17 14 ,21 ,77 ,171 ,407 ,496 ,484 ,168 14 
Maipu& ,578605 ,4499 ,777.6 ,870 ,150.4 ,868 ,150.0 ,O 0 13 ,49 71 ,77 82 ,109 ,131 ,344 ,772 ,1159 ,1118 ,542 32 
Maria Pinto& ,14926 ,69 ,462.3 ,12 ,80.4 ,12 ,80.4 ,O 0 O ,0 O ,0 1 ,0 ,2 ,1 ,16 ,22 ,20 ,7 0 
Melipilla& ,141612 ,887 ,626.4 ,308 ,217.5 ,305 ,215.4 ,O 1 1 ,4 5 ,5 8 ,21 ,33 ,77 ,92 ,167 ,238 ,211 24 
Nunoa& ,250192 ,2250 ,899.3 ,466 ,186.3 ,459 ,183.5 ,1 1 27 ,53 38 ,46 45 ,65 ,64 ,140 ,342 ,505 ,612 ,284 27 
Padre Hurtado& ,74188 ,484 ,652.4 ,70 ,94.4 ,70 ,94.4 ,O 1 0 ,5 9 ,5 12 ,9 ,15 ,51 ,90 ,121 ,120 ,43 3 
Paine& ,82766 ,347 ,419.3 ,70 ,84.6 ,70 ,84.6 ,O 1 1 ,3 0 ,4 4 ,3 ,5 ,25 ,76 ,81 ,95 ,40 9 
Pedro Aguirre Cerda8 ,107803 ,1441 ,1336.7 ,158 ,146.6 ,152 ,141.0 ,O 0 4 ,5 16 ,23 45 ,32 ,71 ,162 ,334 ,381 ,255 ,97 16 
Penaflor8 ,101058 ,574 ,568.0 ,101 ,99.9 ,99 ,98.0 ,1 1 5 ,3 9 ,5 9 ,14 ,26 ,42 ,96 ,148 ,150 ,60 5 
Penalolen& ,266798 ,4899 ,1836.2 ,1004 ,376.3 ,999 ,374.4 ,1 3 9 ,26 34 ,38 50 ,66 ,118 ,372 ,889 ,1257 ,1343 ,662 31 
Pirque& ,30433 ,324 ,1064.6 ,70 ,230.0 ,70 ,230.0 ,0 0 3 ,1 4 ,1 5 ,5 ,16 ,33 ,43 ,63 ,107 ,43 0 
Providencia& ,157749 ,1403 ,889.4 ,335 ,212.4 ,329 ,208.6 ,0 3 29 ,61 20 ,22 30 ,34 ,34 ,89 ,222 ,290 ,330 ,221 18 
Pudahuel& ,253139 ,2831 ,1118.4 ,396 ,156.4 ,391 ,154.5 ,2 1 2 ,19 23 ,31 36 ,43 ,126 ,305 ,593 ,799 ,579 ,245 27 
Puente Alto& ,645909 ,7939 ,1229.1 ,1336 ,206.8 ,1331 ,206.1 ,1 2 9 ,58 98 ,163 185 ,270 ,277 ,741 ,1371 ,1948 ,1954 ,798 64 
Quilicura& ,254694 ,3546 ,1392.3 ,516 ,202.6 ,515 ,202.2 ,0 6 4 ,20 25 ,42 41 ,128 ,273 ,485 ,661 ,844 ,675 ,305 37 
Quinta Normal& ,136368 ,1897 ,1391.1 ,219 ,160.6 ,214 ,156.9 ,0 2 5 ,14 25 ,36 49 ,50 ,97 ,243 ,405 ,473 ,348 ,129 21 
Recoleta8 ,190075 ,4040 ,2125.5 ,460 ,242.0 ,457 ,240.4 ,0 0 5 ,15 18 ,35 47 ,106 ,273 ,684 ,1042 ,894 ,596 ,290 35 
Renca& ,160847 ,2180 ,1355.3 ,297 ,184.6 ,296 ,184.0 ,0 0 4 ,7 11 ,7 33 ,61 ,100 ,263 ,562 ,522 ,416 ,174 20 
San Bernardo& ,334836 ,3408 ,1017.8 ,558 ,166.6 ,550 ,164.3 ,1 2 6 ,20 36 ,65 72 ,120 ,150 ,305 ,620 ,819 ,807 ,362 23 
San Joaquin& ,103485 ,2068 ,1998.4 ,280 ,270.6 ,278 ,268.6 ,O 2 1 ,14 22 ,14 37 ,40 ,79 ,214 ,499 ,602 ,343 ,178 23 
San Jose de Maipo& ,18644 ,232 ,1244.4 ,45 ,241.4 ,44 ,236.0 ,0 0 1 ,1 1 ,2 2 ,1 ,4 ,22 ,38 ,53 ,83 ,23 1 
San Miguel& ,133059 ,1988 ,1494.1 ,354 ,266.0 ,350 ,263.0 ,0 0 3 ,25 21 ,25 44 ,47 ,72 ,182 ,399 ,469 ,452 ,234 15 
San Pedro& ,11953 ,44 ,368.1 ,2 ,16.7 ,2 ,16.7 ,0 0 0 ,0 O ,0 0 ,2 ,10 ,7 ,8 ,11 ,4 ,2 0 
San Ramon& ,86510 ,1841 ,2128.1 ,190 ,219.6 ,188 ,217.3 ,0 0 1 ,5 11 ,10 13 ,41 ,87 ,234 ,435 ,513 ,377 ,111 3 
Santiago& ,503147 ,7089 ,1408.9 ,998 ,198.4 ,988 ,196.4 ,1 2 28 ,95 97 ,135 157 ,168 ,353 ,882 ,1541 ,1567 ,1420 ,594 49 
Talagante& ,81838 ,343 ,419.1 ,66 ,80.6 ,65 ,79.4 ,0 0 0 ,4 7 ,7 3 ,10 ,8 ,36 ,54 ,87 ,77 ,47 3 
