Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,22607 ,483 ,2136.5 ,8 ,35.4 ,75 ,331.8 ,75 ,331.8 
Chillan ,& 198624 ,1946 ,979.7 ,20 ,10.1 ,154 ,77.5 ,154 ,77.5 
Chillan Viejo ,33827 ,315 ,931.2 ,2 ,5.9 ,21 ,62.1 ,21 ,62.1 
Cobquecura ,5275 ,18 ,341.2 ,0 ,0.0 ,16 ,303.3 ,16 ,303.3 
Coelemu ,16845 ,91 ,540.2 ,3 ,17.8 ,12 ,71.2 ,12 ,71.2 
Coihueco ,28375 ,233 ,821.1 ,4 ,14.1 ,18 ,63.4 ,18 ,63.4 
EI Carmen ,12334 ,103 ,835.1 ,3 ,24.3 ,0 ,0.0 ,O ,0.0 
Ninhue ,5414 ,52 ,960.5 ,3 ,55.4 ,1 ,18.5 ,1 ,18.5 
Niquen ,11567 ,114 ,985.6 ,3 ,25.9 ,23 ,198.8 ,23 ,198.8 
Pemuco ,8639 ,105 ,1215.4 ,2 ,23.2 ,2 ,23.2 ,2 ,23.2 
Pinto ,11880 ,73 ,614.5 ,O ,0.0 ,5 ,42.1 ,5 ,42.1 
Portezuelo ,4940 ,23 ,465.6 ,0 ,0.0 ,2 ,40.5 ,2 ,40.5 
Quillon ,18777 ,191 ,1017.2 ,4 ,21.3 ,7 ,37.3 ,7 ,37.3 
Quirihue ,12192 ,94 ,771.0 ,2 ,16.4 ,19 ,155.8 ,19 ,155.8 
Ranqui ,6261 ,49 ,782.6 ,0 ,0.0 ,8 ,127.8 ,8 ,127.8 
San Carlos ,56252 ,519 ,922.6 ,6 ,10.7 ,21 ,37.3 ,21 ,37.3 
San Fabian ,4654 ,15 ,322.3 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
San Ignacio ,16624 ,178 ,1070.7 ,6 ,36.1 ,2 ,12.0 ,2 ,12.0 
San Nicolas ,& 12172 ,133 ,1092.7 ,3 ,24.6 ,6 ,49.3 ,6 ,49.3 
Treguaco ,5696 ,14 ,245.8 ,1 ,17.6 ,6 ,105.3 ,6 ,105.3 
Yungay ,18596 ,144 ,774.4 ,1 ,5.4 ,8 ,43.0 ,8 ,43.0 
Desconocido ,& ,1 ,- ,O ,- ,0 ,- ,0 ,- 
Total ,511551 ,4894 ,956.7 ,71 ,13.9 ,406 ,79.4 ,406 ,79.4 
