Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,350 ,4726.5 ,7 ,94.5 ,7 ,94.5 
Buin ,& ,109641 ,2925 ,2667.8 ,88 ,80.3 ,87 ,79.3 
Calera de Tango ,& ,28525 ,658 ,2306.7 ,8 ,28.0 ,8 ,28.0 
Cerrillos ,& ,88956 ,3368 ,3786.1 ,49 ,55.1 ,49 ,55.1 
Cerro Navia ,& ,142465 ,7278 ,5108.6 ,82 ,57.6 ,81 ,56.9 
Colina ,& ,180353 ,5073 ,2812.8 ,65 ,36.0 ,64 ,35.5 
Conchali ,& ,139195 ,6745 ,4845.7 ,68 ,48.9 ,67 ,48.1 
Curacavi ,,36430 ,1090 ,2992.0 ,26 ,71.4 ,26 ,71.4 
EI Bosque ,& ,172000 ,7025 ,4084.3 ,64 ,37.2 ,64 ,37.2 
EI Monte ,& ,40014 ,1328 ,3318.8 ,25 ,62.5 ,25 ,62.5 
Estacion Central ,& ,206792 ,6678 ,3229.3 ,53 ,25.6 ,53 ,25.6 
Huechuraba ,& ,112528 ,4211 ,3742.2 ,44 ,39.1 ,44 ,39.1 
Independencia ,& ,142065 ,6975 ,4909.7 ,51 ,35.9 ,51 ,35.9 
Isla de Maipo ,& ,40171 ,1302 ,3241.1 ,21 ,52.3 ,21 ,52.3 
La Cisterna ,& ,100434 ,3585 ,3569.5 ,45 ,44.8 ,45 ,44.8 
La Florida ,& ,402433 ,14928 ,3709.4 ,217 ,53.9 ,217 ,53.9 
La Granja ,& ,122557 ,7457 ,6084.5 ,92 ,75.1 ,91 ,74.3 
La Pintana ,& ,189335 ,11325 ,5981.5 ,85 ,44.9 ,82 ,43.3 
La Reina ,& ,100252 ,2474 ,2467.8 ,31 ,30.9 ,31 ,30.9 
Lampa ,& ,126898 ,3895 ,3069.4 ,38 ,29.9 ,38 ,29.9 
Las Condes ,& ,330759 ,6566 ,1985.1 ,146 ,44.1 ,146 ,44.1 
