Malloa,&OOOO,OOOOOO1,3,24,6,11,14,16,10,5O
Marchihue ,O O O O ,O O O O O O O ,O ,1 3 ,O ,5 ,3 ,1 ,3 ,1 O 
Mostazal ,& 0 O O O ,O O O O O 3 4 ,6 ,15 21 ,28 ,23 ,25 ,39 ,29 ,9 O 
Nancagua ,& O O O O ,O O O O O 1 1 ,11 ,5 9 ,7 ,12 ,8 ,7 ,12 ,6 O 
Navidad ,& O O O O ,O O O O 3 O 6 ,2 ,6 1 ,11 ,12 ,9 ,10 ,10 ,1 O 
Olivar ,& O O O O ,1 2 3 1 O O 7 ,4 ,12 5 ,12 ,16 ,28 ,34 ,36 ,12 O 
Palmilla ,& O O O O ,O O O O 1 O O ,2 ,3 1 ,5 ,7 ,3 ,3 ,2 ,6 O 
Paredones ,O O O O ,O O O O O O O ,2 ,2 1 ,3 ,2 ,1 ,O ,3 ,O O 
Peralillo ,O O O O ,O O O O O O O ,2 ,7 7 ,12 ,11 ,1 ,5 ,3 ,1 O 
Peumo ,O 0 O O ,1 O 0 O 0 2 3 ,2 ,2 2 ,1 ,1 ,6 ,5 ,2 ,10 0 
Pichidegua ,& O O O O ,O O O O O 1 3 ,8 ,3 2 ,5 ,9 ,15 ,25 ,28 ,12 O 
Pichilemu ,O O O O ,O O O O O 2 2 ,4 ,7 4 ,2 ,6 ,6 ,4 ,O ,11 O 
Placilla ,O 0 O O ,1 O 0 O 0 O 1 ,4 ,3 6 ,10 ,3 ,2 ,7 ,11 ,4 O 
Pumanque ,0 O O O ,O O 0 O O O O ,O ,O 2 ,O ,1 ,1 ,O ,O ,O 0 
Quinta de Tilcoco ,& O O O 1 ,O O O O O O O ,1 ,1 4 ,2 ,10 ,17 ,20 ,14 ,8 O 
Rancagua ,& O O O 9 ,4 7 3 8 13 27 88 ,177 ,222 281 ,425 ,657 ,1108 ,929 ,683 ,307 O 
Rengo ,& O O O 1 ,3 O O 4 5 3 8 ,19 ,29 25 ,47 ,71 ,123 ,152 ,137 ,120 O 
Requinoa ,& O O O 2 ,O O O O 2 1 5 ,5 ,13 20 ,16 ,41 ,72 ,59 ,53 ,27 O 
San Fernando ,& O O O 2 ,1 1 O 2 O 2 8 ,9 ,23 16 ,22 ,28 ,56 ,58 ,50 ,35 O 
San Vicente ,O O O O ,3 1 O O 3 3 16 ,25 ,16 12 ,22 ,37 ,49 ,48 ,47 ,24 O 
Santa Cruz ,& O O O O ,1 O O 1 1 O 5 ,4 ,9 7 ,18 ,21 ,14 ,19 ,20 ,13 O 
Desconocido ,& 0 O O O ,O O 2 O O O 1 ,2 ,12 O ,8 ,4 ,20 ,12 ,7 ,29 O 
