Region,Poblacion,Confirmados,Tasaincidencia
Pirque ,30.433 ,4 ,"13,1 "
Providencia ,157.749 ,115 ,"72,9 "
Pudahuel ,253.139 ,52 ,"20,5 "
Puente Alto ,645.909 ,166 ,"25,7 "
Quilicura ,254.694 ,57 ,"22,4 "
Quinta Normal ,136.368 ,57 ,"41,8 "
Recoleta ,190.075 ,52 ,"27,4 "
Renca ,160.847 ,22 ,"13,7 "
San Bernardo ,334.836 ,79 ,"23,6 "
San Joaquin ,103.485 ,42 ,"40,6 "
San Jose de Maipo ,18.644 ,- ,"16,1 "
San Miguel ,133.059 ,56 ,"42,1 "
San Pedro ,11.953 ,- ,"0,0 "
San Ramon ,86.510 ,12 ,"13,9 "
Santiago ,503.147 ,271 ,"53,9 "
Talagante ,81.838 ,14 ,"17,1 "
Tiltil ,21.477 ,4 ,"18,6 "
Vitacura ,96.774 ,114 ,"117,8 "
Total ,8.125.072 ,2.548 ,"31,4 "
