Barbara,,O,0,O,O,2,1,O,0,0,04,9,7,19,7,8,23,9,14,14,7,20,9,8,O
,,O ,O ,O ,O ,0 ,1 ,O ,O ,1 ,0 O ,O ,0 ,3 ,17 ,23 ,15 ,7 ,2 ,5 ,11 ,2 ,3 ,4 ,O 
,,& 0 ,O ,1 ,16 ,16 ,20 ,14 ,14 ,21 ,17 18 ,18 ,43 ,71 ,54 ,113 ,150 ,127 ,113 ,133 ,186 ,181 ,126 ,95 ,O 
,,O ,0 ,O ,1 ,2 ,1 ,O ,O ,O ,O O ,O ,O ,1 ,4 ,5 ,9 ,7 ,O ,O ,O ,1 ,3 ,1 ,0 
,,0 ,0 ,0 ,9 ,13 ,13 ,7 ,9 ,1 ,4 16 ,6 ,8 ,15 ,53 ,63 ,65 ,33 ,13 ,15 ,26 ,64 ,64 ,47 ,0 
,,O ,O ,O ,0 ,0 ,1 ,O ,O ,0 ,O 1 ,4 ,6 ,11 ,21 ,13 ,28 ,34 ,14 ,7 ,7 ,4 ,5 ,2 ,O 
,,O ,O ,O ,O ,5 ,O ,1 ,1 ,1 ,2 4 ,3 ,5 ,12 ,3 ,20 ,40 ,20 ,46 ,33 ,6 ,7 ,10 ,16 ,O 
,,& O ,O ,O ,1 ,O ,O ,O ,O ,0 ,O 2 ,4 ,6 ,6 ,9 ,7 ,27 ,38 ,8 ,11 ,11 ,12 ,15 ,34 ,O 
,,1 ,2 ,29 ,140 ,164 ,155 ,102 ,101 ,70 ,88 213 ,259 ,515 ,757 ,836 ,1268 ,1668 ,1442 ,1132 ,1071 ,1145 ,1171 ,1037 ,847 ,0 
