,,,,,,,,Numero,deCasos,segunFechadeInicio,deSintomas.Notificacion,OTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE SE 17 18 19 ,SE SE 20 21 ,SE SE 22 23 ,SE 24 ,SE SE 25 26 
Alto Biobio ,6775 ,158 ,2332.1 ,0 ,0.0 ,17 ,250.9 ,17 ,250.9 ,0 0 0 O ,0 0 0 0 ,0 0 0 ,7 45 ,55 31 ,12 ,8 0 
Antuco ,4306 ,39 ,905.7 ,0 ,0.0 ,15 ,348.4 ,15 ,348.4 ,0 0 0 O ,0 0 0 O ,0 0 2 ,2 1 ,13 2 ,5 ,14 0 
Arauco& ,38679 ,166 ,429.2 ,1 ,2.6 ,67 ,173.2 ,67 ,173.2 ,0 0 1 2 ,2 1 O O ,0 5 4 ,14 17 ,24 22 ,33 ,41 0 
Cabrero& ,30725 ,179 ,582.6 ,0 ,0.0 ,129 ,419.9 ,129 ,419.9 ,O O 0 1 ,O 4 3 7 ,1 3 4 ,2 3 ,4 16 ,44 ,87 0 
Canete ,37003 ,32 ,86.5 ,0 ,0.0 ,11 ,29.7 ,11 ,29.7 ,0 0 0 0 ,0 0 0 0 ,0 0 0 ,1 9 ,4 7 ,1 ,7 3 
Chiguayante ,91180 ,254 ,278.6 ,4 ,4.4 ,72 ,79.0 ,72 ,79.0 ,O 0 5 5 ,9 16 11 10 ,12 8 7 ,9 9 ,26 40 ,55 ,31 1 
Concepcion& ,238092 ,926 ,388.9 ,9 ,3.8 ,328 ,137.8 ,326 ,136.9 ,1 1 7 28 ,30 23 22 18 ,14 19 20 ,21 91 ,98 131 ,235 ,165 2 
Contulmo& ,6330 ,10 ,158.0 ,O ,0.0 ,8 ,126.4 ,8 ,126.4 ,0 0 0 O ,O 0 0 O ,0 0 0 ,O 1 ,1 0 ,O ,8 0 
Coronel& ,125829 ,629 ,499.9 ,2 ,1.6 ,232 ,184.4 ,232 ,184.4 ,O 0 1 6 ,7 4 1 0 ,5 2 14 ,15 50 ,130 112 ,147 ,135 0 
Curanilahue ,33892 ,46 ,135.7 ,1 ,3.0 ,18 ,53.1 ,18 ,53.1 ,O 0 O 1 ,O 0 O O ,0 1 3 ,O 2 ,4 11 ,9 ,15 O 
Florida ,11841 ,13 ,109.8 ,0 ,0.0 ,6 ,50.7 ,6 ,50.7 ,0 O 0 O ,2 1 O O ,0 0 2 ,O 1 ,0 0 ,3 ,4 O 
Hualpen& ,97273 ,300 ,308.4 ,2 ,2.1 ,70 ,72.0 ,70 ,72.0 ,0 0 3 23 ,33 27 17 8 ,2 5 11 ,9 17 ,29 24 ,58 ,33 1 
Hualqui ,26201 ,111 ,423.6 ,2 ,7.6 ,46 ,175.6 ,46 ,175.6 ,O 0 1 1 ,2 3 4 9 ,O 1 2 ,5 12 ,7 13 ,18 ,33 0 
Laja ,23873 ,95 ,397.9 ,O ,0.0 ,18 ,75.4 ,18 ,75.4 ,0 1 1 O ,3 1 1 1 ,5 1 17 ,20 8 ,7 9 ,10 ,10 0 
Lebu ,27100 ,27 ,99.6 ,0 ,0.0 ,11 ,40.6 ,11 ,40.6 ,0 O 0 O ,0 0 O O ,0 1 1 ,O O ,6 6 ,5 ,8 0 
Los Alamos ,22524 ,47 ,208.7 ,O ,0.0 ,36 ,159.8 ,36 ,159.8 ,0 O 0 O ,O O 1 O ,0 1 O ,1 O ,3 4 ,5 ,30 2 
Los Angeles& ,218515 ,559 ,255.8 ,1 ,0.5 ,153 ,70.0 ,153 ,70.0 ,0 0 3 6 ,9 6 5 4 ,0 4 32 ,64 90 ,77 88 ,85 ,85 1 
Lota& ,45750 ,164 ,358.5 ,0 ,0.0 ,66 ,144.3 ,66 ,144.3 ,0 0 0 1 ,O 1 O O ,0 1 16 ,10 14 ,22 20 ,43 ,36 0 
Mulchen ,31041 ,35 ,112.8 ,0 ,0.0 ,8 ,25.8 ,8 ,25.8 ,0 0 0 1 ,4 0 O O ,O 2 3 ,1 1 ,11 3 ,3 ,6 0 
Nacimiento ,27944 ,87 ,311.3 ,1 ,3.6 ,36 ,128.8 ,36 ,128.8 ,0 O 0 2 ,3 3 2 O ,1 3 8 ,4 8 ,7 5 ,20 ,21 0 
