Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcioninvestigados,decontactosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Alto Biobio ,1 ,1 ,1000 ,0 ,0 ,- 
Antuco ,1 ,1 ,1000 ,2 ,2 ,1000 
Arauco ,41 ,39 ,951 ,39 ,39 ,1000 
Cabrero ,14 ,14 ,1000 ,13 ,12 ,923 
Canete ,18 ,18 ,1000 ,18 ,18 ,1000 
Chiguayante ,68 ,64 ,941 ,117 ,26 ,222 
Concepcion ,139 ,128 ,921 ,332 ,134 ,404 
Contulmo ,2 ,2 ,1000 ,2 ,2 ,1000 
Coronel ,111 ,107 ,964 ,337 ,135 ,401 
Curanilahue ,23 ,22 ,957 ,20 ,20 ,1000 
Florida ,3 ,3 ,1000 ,2 ,1 ,500 
Hualpen ,67 ,64 ,955 ,195 ,69 ,354 
Hualqui ,31 ,28 ,903 ,79 ,32 ,405 
Laja ,7 ,7 ,1000 ,22 ,22 ,1000 
