Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Corral ,111 ,1000 ,1000 
Futrono ,608 ,990 ,990 
La Union ,220 ,951 ,940 
Lago Ranco ,250 ,1000 ,1000 
Lanco ,67 ,1000 ,933 
Los Lagos ,286 ,952 ,838 
Mafil ,48 ,988 ,890 
Mariquina ,722 ,992 ,955 
Paillaco ,149 ,1000 ,957 
Panguipulli ,288 ,986 ,964 
Rio Bueno ,184 ,985 ,941 
Valdivia ,310 ,984 ,922 
Total ,314 ,984 ,931 
