Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Andacollo ,836 ,30 ,966 ,100 
Canela ,464 ,107 ,836 ,833 
Combarbala ,608 ,39 ,879 ,100 
Coquimbo ,372 ,181 ,906 ,975 
Illape ,269 ,160 ,789 ,100 
La Higuera ,124 ,58 ,986 ,875 
La Serena ,534 ,90 ,930 ,943 
Los Vilos ,212 ,182 ,936 ,100 
Monte Patria ,611 ,201 ,828 ,793 
Ovalle ,379 ,207 ,841 ,945 
Paiguano ,00 ,- ,952 ,- 
Punitaqui ,621 ,126 ,897 ,100 
Rio Hurtado ,792 ,188 ,980 ,100 
Salamanca ,623 ,79 ,962 ,100 
Vicuna ,373 ,118 ,940 ,100 
Total ,452 ,139 ,906 ,957 
