Peumo,14952,67,448.1,5,33.4,10,,66.9,10,66.9
Pichidegua ,20743 ,161 ,776.2 ,4 ,19.3 ,25 ,,120.5 ,25 ,120.5 
Pichilemu ,17882 ,54 ,302.0 ,0 ,0.0 ,2 ,,11.2 ,2 ,11.2 
Placilla ,9164 ,64 ,698.4 ,O ,0.0 ,7 ,,76.4 ,7 ,76.4 
Pumanque ,3531 ,4 ,113.3 ,1 ,28.3 ,0 ,,0.0 ,0 ,0.0 
Quinta de Tilcoco ,13877 ,107 ,771.1 ,3 ,21.6 ,14 ,,100.9 ,14 ,100.9 
Rancagua & ,265211 ,5600 ,2111.5 ,101 ,38.1 ,265 ,,99.9 ,262 ,98.8 
Rengo & ,63710 ,978 ,1535.1 ,18 ,28.3 ,88 ,,138.1 ,87 ,136.6 
Requinoa ,30371 ,391 ,1287.4 ,8 ,26.3 ,28 ,,92.2 ,27 ,88.9 
San Fernando & ,78642 ,449 ,570.9 ,7 ,8.9 ,78 ,,99.2 ,78 ,99.2 
San Vicente & ,50617 ,456 ,900.9 ,10 ,19.8 ,57 ,,112.6 ,57 ,112.6 
Santa Cruz & ,41096 ,189 ,459.9 ,7 ,17.0 ,29 ,,70.6 ,29 ,70.6 
Desconocido & ,- ,99 ,- ,O ,- ,20 ,,- ,20 ,- 
