Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& 15925 ,212 ,1331.2 ,23 ,144.4 ,23 ,144.4 
Chimbarongo ,37696 ,245 ,649.9 ,15 ,39.8 ,15 ,39.8 
Codegua ,& 14096 ,299 ,2121.2 ,16 ,113.5 ,16 ,113.5 
Coinco ,7831 ,149 ,1902.7 ,13 ,166.0 ,13 ,166.0 
Coltauco ,21263 ,395 ,1857.7 ,37 ,174.0 ,36 ,169.3 
Donihue ,22700 ,512 ,2255.5 ,33 ,145.4 ,33 ,145.4 
Graneros ,& 36504 ,640 ,1753.2 ,42 ,115.1 ,42 ,115.1 
La Estrella ,3114 ,39 ,1252.4 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,26749 ,434 ,1622.5 ,49 ,183.2 ,49 ,183.2 
Litueche ,6765 ,94 ,1389.5 ,O ,0.0 ,O ,0.0 
Lolol ,7289 ,72 ,987.8 ,4 ,54.9 ,4 ,54.9 
Machali ,& 59913 ,1124 ,1876.1 ,60 ,100.1 ,60 ,100.1 
Malloa ,14163 ,177 ,1249.7 ,12 ,84.7 ,12 ,84.7 
Marchihue ,7632 ,40 ,524.1 ,10 ,131.0 ,10 ,131.0 
Mostazal ,27462 ,328 ,1194.4 ,17 ,61.9 ,16 ,58.3 
Nancagua ,19141 ,162 ,846.4 ,33 ,172.4 ,33 ,172.4 
Navidad ,6904 ,76 ,1100.8 ,O ,0.0 ,O ,0.0 
Olivar ,& 14624 ,278 ,1901.0 ,15 ,102.6 ,15 ,102.6 
Palmilla ,13299 ,144 ,1082.8 ,27 ,203.0 ,27 ,203.0 
Paredones ,6349 ,35 ,551.3 ,O ,0.0 ,0 ,0.0 
Peralillo ,11848 ,82 ,692.1 ,8 ,67.5 ,8 ,67.5 
