Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,15925 ,174 ,1092.6 ,17 ,106.8 ,17 ,106.8 
Chimbarongo ,& 37696 ,217 ,575.7 ,10 ,26.5 ,10 ,26.5 
Codegua ,& 14096 ,256 ,1816.1 ,27 ,191.5 ,27 ,191.5 
Coinco ,7831 ,131 ,1672.8 ,6 ,76.6 ,6 ,76.6 
Coltauco ,21263 ,310 ,1457.9 ,38 ,178.7 ,38 ,178.7 
Donihue ,22700 ,463 ,2039.6 ,29 ,127.8 ,29 ,127.8 
Graneros ,& 36504 ,560 ,1534.1 ,58 ,158.9 ,58 ,158.9 
La Estrella ,3114 ,37 ,1188.2 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,& 26749 ,342 ,1278.6 ,75 ,280.4 ,75 ,280.4 
Litueche ,6765 ,94 ,1389.5 ,4 ,59.1 ,4 ,59.1 
Lolol ,7289 ,62 ,850.6 ,5 ,68.6 ,5 ,68.6 
Machali ,59913 ,1039 ,1734.2 ,25 ,41.7 ,25 ,41.7 
Malloa ,& 14163 ,151 ,1066.2 ,10 ,70.6 ,10 ,70.6 
Marchihue ,7632 ,30 ,393.1 ,1 ,13.1 ,1 ,13.1 
Mostazal ,27462 ,290 ,1056.0 ,24 ,87.4 ,24 ,87.4 
Nancagua ,19141 ,121 ,632.2 ,16 ,83.6 ,16 ,83.6 
Navidad ,6904 ,76 ,1100.8 ,O ,0.0 ,O ,0.0 
Olivar ,14624 ,252 ,1723.2 ,23 ,157.3 ,23 ,157.3 
Palmilla ,13299 ,79 ,594.0 ,18 ,135.3 ,18 ,135.3 
Paredones ,6349 ,33 ,519.8 ,3 ,47.3 ,3 ,47.3 
Peralillo ,& 11848 ,70 ,590.8 ,6 ,50.6 ,6 ,50.6 
