Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,15925 ,205 ,1287.3 ,19 ,119.3 ,19 ,119.3 
Chimbarongo ,37696 ,242 ,642.0 ,16 ,42.4 ,16 ,42.4 
Codegua ,14096 ,292 ,2071.5 ,17 ,120.6 ,17 ,120.6 
Coinco ,7831 ,146 ,1864.4 ,14 ,178.8 ,14 ,178.8 
Coltauco ,& 21263 ,383 ,1801.3 ,41 ,192.8 ,39 ,183.4 
Donihue ,& 22700 ,501 ,2207.0 ,28 ,123.3 ,28 ,123.3 
Graneros ,36504 ,624 ,1709.4 ,38 ,104.1 ,38 ,104.1 
La Estrella ,3114 ,39 ,1252.4 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,26749 ,423 ,1581.4 ,61 ,228.0 ,61 ,228.0 
Litueche ,6765 ,94 ,1389.5 ,O ,0.0 ,0 ,0.0 
Lolol ,7289 ,71 ,974.1 ,4 ,54.9 ,4 ,54.9 
Machali ,& 59913 ,1104 ,1842.7 ,55 ,91.8 ,55 ,91.8 
Malloa ,14163 ,172 ,1214.4 ,13 ,91.8 ,13 ,91.8 
Marchihue ,7632 ,37 ,484.8 ,7 ,91.7 ,7 ,91.7 
Mostazal ,& 27462 ,320 ,1165.2 ,16 ,58.3 ,16 ,58.3 
Nancagua ,19141 ,152 ,794.1 ,29 ,151.5 ,29 ,151.5 
Navidad ,6904 ,76 ,1100.8 ,0 ,0.0 ,0 ,0.0 
Olivar ,14624 ,276 ,1887.3 ,14 ,95.7 ,14 ,95.7 
Palmilla ,13299 ,140 ,1052.7 ,43 ,323.3 ,43 ,323.3 
Paredones ,6349 ,35 ,551.3 ,0 ,0.0 ,0 ,0.0 
Peralillo ,11848 ,79 ,666.8 ,7 ,59.1 ,7 ,59.1 
