,SESESESE,SESE,SE,SESE,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
Comuna ,9 10 11 12 ,13 14 ,15 ,16 17 ,18 19 20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 
Arica ,& 1 2 1 2 ,23 70 ,68 ,53 69 ,51 45 89 ,147 ,194 ,279 ,273 ,295 ,352 ,446 ,683 ,785 ,763 ,589 ,583 ,268 ,O 
Camarones ,& 0 0 O O ,O O ,0 ,O 0 ,O 0 O ,O ,O ,0 ,O ,O ,O ,1 ,12 ,2 ,4 ,5 ,O ,1 ,O 
General Lagos ,& O O 0 O ,O O ,O ,O O ,O O O ,O ,O ,O ,0 ,O ,O ,O ,O ,1 ,1 ,12 ,29 ,5 ,O 
Putre ,& O O 0 O ,O O ,O ,O O ,O O O ,O ,O ,1 ,9 ,O ,1 ,7 ,12 ,8 ,1 ,8 ,7 ,1 ,O 
Desconocido ,& O O O O ,O 0 ,1 ,O O ,O O O ,O ,0 ,0 ,O ,O ,0 ,O ,0 ,2 ,3 ,3 ,10 ,4 ,0 
Total ,1 2 1 2 ,23 70 ,69 ,53 69 ,51 45 89 ,147 ,194 ,280 ,282 ,295 ,353 ,454 ,707 ,798 ,772 ,617 ,629 ,279 ,0 
