Machali,&0O14,1O,4,O559,18,24,3656,105,224,196,120,62,5434,36,21,21168O
Malloa ,0 0 O O ,O O ,O ,O O O 1 ,3 ,3 ,4 6 ,11 ,15 ,17 ,11 ,14 ,23 19 ,10 ,4 ,9 12 3 O 
Marchihue ,0 0 O O ,O O ,O ,O O O O ,O ,2 ,3 O ,5 ,3 ,1 ,4 ,2 ,5 2 ,2 ,1 ,O O O O 
Mostazal ,& O O O O ,O O ,O ,O O 3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,31 ,18 ,15 14 ,16 ,11 ,23 14 6 O 
Nancagua ,& O O O O ,O O ,O ,O O 1 1 ,11 ,5 ,9 7 ,12 ,8 ,7 ,12 ,10 ,5 3 ,4 ,15 ,6 10 2 O 
Navidad ,O O O O ,O 0 ,O ,O 3 O 6 ,2 ,6 ,1 11 ,12 ,9 ,8 ,9 ,3 ,3 1 ,2 ,O ,O O O O 
Olivar ,0 O O 0 ,1 2 ,3 ,1 O O 7 ,4 ,13 ,5 13 ,16 ,28 ,34 ,37 ,18 ,9 15 ,12 ,16 ,11 19 1 O 
Palmilla ,O O O O ,O O ,O ,O 1 O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,8 ,3 3 ,16 ,4 ,15 32 6 O 
Paredones ,O O O O ,O O ,O ,O O O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,1 ,4 2 ,7 ,1 ,2 3 O O 
Peralillo ,O 0 O 0 ,O O ,O ,O O O O ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 ,2 3 ,6 ,2 ,5 4 O O 
Peumo ,0 0 O O ,1 O ,O ,O O 2 3 ,2 ,2 ,2 1 ,2 ,5 ,6 ,2 ,14 ,20 5 ,17 ,18 ,13 20 7 O 
Pichidegua ,O O O O ,O O ,O ,O O 1 3 ,8 ,3 ,3 7 ,9 ,15 ,25 ,30 ,21 ,16 22 ,53 ,51 ,37 44 11 O 
Pichilemu ,O O O 0 ,O O ,O ,O O 2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,O ,12 ,4 1 ,O ,1 ,O 3 2 O 
Placilla ,0 O O 0 ,1 O ,O ,O O O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,6 ,6 3 ,O ,9 ,2 2 1 O 
Pumanque ,O O O O ,O O ,O ,O O O O ,O ,O ,2 O ,1 ,1 ,O ,O ,O ,O O ,O ,1 ,O O O O 
Quinta de Tilcoco ,& O O O 1 ,O O ,O ,O O O O ,1 ,1 ,4 2 ,10 ,16 ,20 ,15 ,11 ,16 12 ,14 ,5 ,3 1 O O 
Rancagua ,& O O O 9 ,4 7 ,4 ,9 13 27 89 ,177 ,231 ,283 430 ,659 ,1102 ,934 ,698 ,507 ,282 164 ,205 ,233 ,234 213 41 O 
Rengo ,O O O 1 ,3 O ,O ,4 5 3 8 ,19 ,29 ,27 48 ,70 ,122 ,141 ,136 ,186 ,119 82 ,73 ,83 ,46 33 2 O 
Requinoa ,& O O O 2 ,O O ,O ,O 2 1 4 ,5 ,13 ,21 16 ,40 ,78 ,60 ,54 ,45 ,25 21 ,27 ,13 ,12 14 4 O 
San Fernando ,& O O O 2 ,1 1 ,O ,2 O 2 8 ,9 ,23 ,16 22 ,27 ,55 ,60 ,51 ,60 ,57 55 ,68 ,71 ,66 63 13 O 
San Vicente ,O O O O ,3 1 ,O ,O 3 3 16 ,27 ,17 ,14 24 ,37 ,58 ,52 ,51 ,55 ,56 48 ,71 ,100 ,54 40 10 O 
Santa Cruz ,& O O O O ,1 O ,O ,1 1 O 5 ,4 ,10 ,7 18 ,21 ,15 ,20 ,22 ,24 ,13 22 ,46 ,36 ,34 48 16 O 
Desconocido ,& O 0 O O ,O O ,1 ,O O O 1 ,1 ,2 ,O 6 ,1 ,6 ,7 ,2 ,6 ,2 5 ,O ,1 ,O O 1 O 
Total ,1 0 1 23 ,18 11 ,13 ,21 48 68 225 ,399 ,503 ,559 844 ,1292 ,2088 ,1962 ,1554 ,1315 ,932 688 ,836 ,868 ,805 762 170 0 
