LaFlorida,,,,,PuenteAlto,,,,,
Penalolen ,,,,,Puerto Montt ,,,,,
San Bernardo ,,,,,Coquimbo ,,,,,
La Pintana ,,,,,Valparaiso ,,,,,
Pudahuel ,,,,,Iquique ,,,,,
Quilicura ,,,,,La Serena ,,,,,
Renca ,,,,,Vina de Mar ,,,,,
Antofagasta ,,,,,Maipu ,,,,,
Recoleta ,,,,,Rancagua ,,,,,
La Granja ,,,,,Punta Arenas ,,,,,
Calama Cerro Navia ,,,,,Renca Concepcion ,,,,,
Independencia ,,,,,Calama ,,,,,
EI Bosque ,,,,,La Florida ,,,,,
Estacion Central ,,,,,La Pintana ,,,,,
Conchali ,,,,,San Bernardo ,,,,,
Quinta Normal ,,,,,Talca ,,,,,
Rancagua ,,,,,Santiago ,,,,,
Las Condes ,,,,,Talcahuano ,,,,,
Arica ,,,,,Coronel ,,,,,
Nunoa ,,,,,Penalolen ,,,,,
Iquique ,,,,,Quinta Normal ,,,,,
San Miguel ,,,,,Alto Hospicio ,,,,,
San Joaquin ,,,,,Pudahuel ,,,,,
Macul ,,,,,Osorno ,,,,,
Lo Prado ,,,,,Quilicura ,,,,,
Valparaiso ,,,,,Cerro Navia ,,,,,
,0 5000 10000 ,,15000 20000 ,,,O 200 400 ,,600 ,,800 
