Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,443 ,1003.6 ,18 ,40.8 ,18 ,40.8 
Chanco ,9331 ,69 ,739.5 ,6 ,64.3 ,6 ,64.3 
Colbun ,22565 ,293 ,1298.5 ,21 ,93.1 ,20 ,88.6 
Constitucion ,50348 ,469 ,931.5 ,24 ,47.7 ,24 ,47.7 
Curepto ,& 9426 ,120 ,1273.1 ,17 ,180.4 ,17 ,180.4 
Curico ,& 163626 ,2439 ,1490.6 ,86 ,52.6 ,86 ,52.6 
Empedrado ,4206 ,38 ,903.5 ,2 ,47.6 ,2 ,47.6 
Hualane ,10222 ,119 ,1164.2 ,2 ,19.6 ,2 ,19.6 
Licanten ,6989 ,28 ,400.6 ,2 ,28.6 ,2 ,28.6 
Linares ,& 101073 ,1197 ,1184.3 ,132 ,130.6 ,132 ,130.6 
Longavi ,32810 ,414 ,1261.8 ,69 ,210.3 ,69 ,210.3 
Maule ,& 60000 ,653 ,1088.3 ,53 ,88.3 ,53 ,88.3 
Molina ,& 49800 ,488 ,979.9 ,105 ,210.8 ,105 ,210.8 
Parral ,44544 ,326 ,731.9 ,43 ,96.5 ,43 ,96.5 
Pelarco ,9083 ,145 ,1596.4 ,5 ,55.0 ,5 ,55.0 
Pelluhue ,8092 ,100 ,1235.8 ,5 ,61.8 ,5 ,61.8 
Pencahue ,8601 ,95 ,1104.5 ,22 ,255.8 ,22 ,255.8 
Rauco ,11248 ,126 ,1120.2 ,2 ,17.8 ,2 ,17.8 
Retiro ,21071 ,217 ,1029.9 ,40 ,189.8 ,40 ,189.8 
Rio Claro ,14753 ,138 ,935.4 ,16 ,108.5 ,16 ,108.5 
Romeral ,16170 ,311 ,1923.3 ,1 ,6.2 ,1 ,6.2 
