Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,14407 ,740 ,463 
XV Arica y Parinacota ,125 ,49.6 ,33.7 
Tarapaca ,224 ,585 ,509 
II Antofagasta ,541 ,78.2 ,71.9 
III Atacama ,64 ,203 ,137 
IV Coquimbo ,163 ,195 ,114 
VValparaiso ,1007 ,51.4 ,27.2 
Region Metropolitana ,10574 ,130.1 ,88.6 
VI O'Higgins ,469 ,473 ,27.7 
VII Maule ,371 ,328 ,186 
XVI De Nuble ,119 ,23.3 ,114 
VIII Del Biobio ,303 ,182 ,110 
IX Araucania ,203 ,200 ,106 
XIV Los Rios ,38 ,94 ,50 
(Los Lagos ,136 ,153 ,9.2 
XI Aysen ,5 ,4.7 ,35 
XII Magallanes la Antartica ,63 ,35.3 ,209 
Ignorada ,2 ,00 ,00 
