06-06-20,4423,5532
07-06-20 ,3487 ,4953 
08-06-20 ,7920 ,6813 
09-06-20 ,7221 ,5360 
10-06-20 ,6881 ,5599 
11-06-20 ,6402 ,5063 
12-06-20 ,6181 ,5753 
13-06-20 ,3968 ,5157 
14-06-20 ,3079 ,4587 
15-06-20 ,7364 ,6133 
16-06-20 ,6747 ,5259 
17-06-20 ,6224 ,4889 
18-06-20 ,6083 ,5076 
19-06-20 ,5964 ,5000 
20-06-20 ,3412 ,4720 
21-06-20 ,2646 ,3891 
22-06-20 ,6451 ,4865 
23-06-20 ,5545 ,4364 
24-06-20 ,5443 ,4019 
25-06-20 ,5085 ,3867 
26-06-20 ,4943 ,3942 
27-06-20 ,3253 ,3301 
28-06-20 ,2482 ,3158 
29-06-20 ,2345 ,3404 
30-06-20 ,4996 ,3769 
01-07-20 ,4785 ,3928 
02-07-20 ,4403 ,2939 
03-07-20 ,4316 ,3194 
04-07-20 ,2064 ,2853 
05-07-20 ,1950 ,2715 
06-07-20 ,4428 ,3397 
07-07-20 ,4200 ,2870 
08-07-20 ,3709 ,2380 
09-07-20 ,3690 ,2321 
10-07-20 ,3228 ,2167 
11-07-20 ,2011 ,1572 
12-07-20 ,1459 ,1123 
13-07-20 ,3400 ,1012 
14-07-20 ,2428 ,632 
15-07-20 ,418 ,153 
