Panquehue,7633,3,39.3,1,13.1,1,13.1,0000,0000,O0,3O0
Papudo ,6201 ,4 ,64.5 ,4 ,64.5 ,4 ,64.5 ,0 O 0 0 ,0 0 0 O ,O 0 ,0 4 0 
Petorca ,10558 ,10 ,94.7 ,3 ,28.4 ,3 ,28.4 ,O 0 0 1 ,4 1 0 O ,0 0 ,1 3 0 
Puchuncavi ,20071 ,4 ,19.9 ,4 ,19.9 ,4 ,19.9 ,0 0 O 0 ,O 0 0 O ,O 0 ,2 2 0 
Putaendo ,17645 ,21 ,119.0 ,6 ,34.0 ,6 ,34.0 ,0 0 0 1 ,0 0 1 3 ,2 2 ,6 6 0 
Quillota ,97572 ,56 ,57.4 ,17 ,17.4 ,17 ,17.4 ,0 1 O 3 ,7 3 6 1 ,5 3 ,15 9 3 
Quilpue & ,167085 ,124 ,74.2 ,40 ,23.9 ,40 ,23.9 ,O 1 3 3 ,9 6 4 5 ,12 17 ,42 21 1 
Quintero ,36135 ,33 ,91.3 ,9 ,24.9 ,9 ,24.9 ,0 0 0 3 ,1 O 0 6 ,2 2 ,15 3 1 
Rinconada ,11263 ,10 ,88.8 ,7 ,62.2 ,7 ,62.2 ,0 0 0 O ,O 3 0 0 ,0 0 ,1 6 0 
San Antonio ,96761 ,280 ,289.4 ,85 ,87.8 ,84 ,86.8 ,0 O O 0 ,5 14 10 22 ,38 66 ,59 64 2 
San Esteban ,20643 ,14 ,67.8 ,4 ,19.4 ,4 ,19.4 ,0 0 0 0 ,O 0 0 1 ,2 2 ,6 2 1 
San Felipe ,83494 ,72 ,86.2 ,53 ,63.5 ,52 ,62.3 ,O 0 0 3 ,2 2 0 0 ,2 4 ,15 41 3 
Santa Maria ,16367 ,26 ,158.9 ,6 ,36.7 ,6 ,36.7 ,0 O O 0 ,2 0 0 1 ,5 11 ,2 4 1 
Santo Domingo ,11934 ,35 ,293.3 ,8 ,67.0 ,8 ,67.0 ,0 0 2 1 ,0 6 4 4 ,4 4 ,4 6 0 
Valparaiso ,315732 ,354 ,112.1 ,95 ,30.1 ,93 ,29.5 ,O 1 2 10 ,16 12 17 14 ,28 80 ,103 64 7 
Villa Alemana ,139310 ,109 ,78.2 ,47 ,33.7 ,45 ,32.3 ,O 0 1 7 ,3 3 0 1 ,6 24 ,28 34 2 
Vina del Mar ,361371 ,408 ,112.9 ,134 ,37.1 ,132 ,36.5 ,0 O 6 21 ,27 21 12 18 ,20 71 ,119 87 6 
Zapallar ,7994 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O ,O 0 0 O ,O 0 ,0 O 0 
Total ,1960170 ,2054 ,104.8 ,722 ,36.8 ,713 ,36.4 ,0 4 15 71 ,103 96 81 100 ,157 343 ,539 504 41 
