Negrete,10429,84,805.4,0,0.0,23,220.5,23,220.5,000O,02O,00O7,1210911,22,110
Penco& ,49865 ,209 ,419.1 ,1 ,2.0 ,103 ,206.6 ,102 ,204.6 ,O 0 0 1 ,4 3 3 ,8 0 3 2 ,2 10 14 43 ,66 ,49 1 
Quilaco ,4179 ,7 ,167.5 ,0 ,0.0 ,1 ,23.9 ,1 ,23.9 ,0 O 0 O ,0 0 0 ,0 O 0 0 ,O 0 2 3 ,1 ,1 0 
Quilleco ,10032 ,9 ,89.7 ,0 ,0.0 ,2 ,19.9 ,2 ,19.9 ,O O 0 O ,O 0 O ,O 0 O O ,O 1 3 2 ,2 ,1 O 
San Pedro de la Paz& ,145906 ,473 ,324.2 ,4 ,2.7 ,151 ,103.5 ,151 ,103.5 ,0 0 6 34 ,17 24 8 ,11 3 2 13 ,14 37 64 64 ,93 ,82 1 
San Rosendo ,3611 ,16 ,443.1 ,1 ,27.7 ,6 ,166.2 ,5 ,138.5 ,O O 0 O ,0 0 0 ,O 0 0 1 ,1 O 2 6 ,O ,6 O 
Santa Barbara& ,14592 ,87 ,596.2 ,0 ,0.0 ,34 ,233.0 ,34 ,233.0 ,0 O 0 0 ,2 0 0 ,O 0 O 4 ,9 7 19 8 ,19 ,19 0 
Santa Juana ,14779 ,53 ,358.6 ,0 ,0.0 ,24 ,162.4 ,24 ,162.4 ,0 O 0 0 ,0 1 0 ,0 1 O 0 ,0 O 3 16 ,22 ,10 0 
Talcahuano& ,158345 ,520 ,328.4 ,1 ,0.6 ,183 ,115.6 ,183 ,115.6 ,0 0 1 ,16 16 19 14 ,14 20 17 19 ,18 42 69 55 ,98 ,101 1 
Tirua ,11019 ,19 ,172.4 ,O ,0.0 ,10 ,90.8 ,10 ,90.8 ,O O 0 1 ,2 1 0 ,O 0 O 0 ,O O 1 4 ,5 ,5 0 
Tome& ,58729 ,260 ,442.7 ,0 ,0.0 ,95 ,161.8 ,95 ,161.8 ,0 0 0 9 ,13 12 7 ,9 1 4 16 ,6 8 15 54 ,65 ,40 1 
Tucapel ,15205 ,82 ,539.3 ,0 ,0.0 ,24 ,157.8 ,24 ,157.8 ,0 0 0 O ,0 1 0 ,0 0 0 1 ,4 6 11 32 ,14 ,13 0 
Yumbel ,22132 ,82 ,370.5 ,0 ,0.0 ,44 ,198.8 ,44 ,198.8 ,0 0 0 O ,5 0 1 ,1 1 2 4 ,3 5 12 2 ,18 ,28 0 
Desconocido& ,- ,200 ,- ,0 ,- ,167 ,- ,167 ,- ,0 0 0 1 ,0 0 0 ,O 0 0 1 ,3 6 9 12 ,57 ,108 3 
Total ,1663696 ,5978 ,359.3 ,30 ,1.8 ,2214 ,133.1 ,2210 ,132.8 ,1 2 29 139 ,163 153 100 ,100 66 85 214 ,257 511 761 856 ,1273 ,1251 17 
