Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Arica ,& 247552 ,5543 ,2239.1 ,79 ,31.9 ,782 ,315.9 ,779 ,314.7 
Camarones ,1233 ,23 ,1865.4 ,1 ,81.1 ,5 ,405.5 ,4 ,324.4 
General Lagos ,810 ,6 ,740.7 ,O ,0.0 ,5 ,617.3 ,5 ,617.3 
Putre ,2515 ,55 ,2186.9 ,O ,0.0 ,15 ,596.4 ,15 ,596.4 
Desconocido ,& - ,18 ,- ,O ,- ,12 ,,12 ,- 
Total ,252110 ,5645 ,2239.1 ,80 ,31.7 ,819 ,324.9 ,815 ,323.3 
,,,,,,,,,
,SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE ,SE SE 
Comuna ,9 10 11 ,12 13 14 15 ,16 17 18 ,19 20 ,21 22 23 ,24 25 ,26 27 28 ,29 30 ,31 32 
Arica ,& O 2 1 ,2 23 70 68 ,53 69 51 ,45 89 ,147 194 279 ,273 295 ,351 445 682 ,785 759 ,567 293 
Camarones ,O 0 0 ,O O 0 O ,0 0 0 ,O O ,O O 0 ,O O ,O 1 12 ,1 4 ,5 0 
Genera Lagos ,O O O ,O O O O ,O 0 O ,O O ,O O O ,O O ,O O O ,1 O ,1 4 
Putre ,O O O ,0 O O O ,0 O O ,O O ,0 O 1 ,9 O ,1 7 12 ,9 1 ,8 7 
Desconocido ,& 0 O O ,O O O 1 ,0 O 0 ,O 0 ,0 O O ,O O ,O 0 0 ,2 3 ,3 9 
,,,,,,,,,
