Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,,11791 ,51 ,432.5 ,1 ,8.5 ,4 ,33.9 ,4 ,33.9 
Canela ,& ,9546 ,21 ,220.0 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Combarbala ,,13884 ,32 ,230.5 ,0 ,0.0 ,1 ,7.2 ,1 ,7.2 
Coquimbo ,& ,256735 ,2017 ,785.6 ,12 ,4.7 ,377 ,146.8 ,377 ,146.8 
Illapel ,& ,32801 ,245 ,746.9 ,1 ,3.0 ,22 ,67.1 ,22 ,67.1 
La Higuera ,,4450 ,34 ,764.0 ,O ,0.0 ,21 ,471.9 ,21 ,471.9 
La Serena ,& ,249656 ,1709 ,684.5 ,16 ,6.4 ,329 ,131.8 ,329 ,131.8 
LOs Vilos ,& ,23374 ,87 ,372.2 ,2 ,8.6 ,7 ,29.9 ,6 ,25.7 
Monte Patria ,& ,32527 ,252 ,774.7 ,3 ,9.2 ,23 ,70.7 ,23 ,70.7 
Ovalle ,& ,121269 ,1147 ,945.8 ,20 ,16.5 ,79 ,65.1 ,79 ,65.1 
Paiguano ,,4675 ,9 ,192.5 ,0 ,0.0 ,1 ,21.4 ,1 ,21.4 
Punitaqui ,,12165 ,81 ,665.8 ,4 ,32.9 ,18 ,148.0 ,18 ,148.0 
Rio Hurtado ,,4372 ,25 ,571.8 ,0 ,0.0 ,2 ,45.7 ,2 ,45.7 
Salamanca ,& ,29110 ,86 ,295.4 ,1 ,3.4 ,8 ,27.5 ,8 ,27.5 
Vicuna ,,29741 ,116 ,390.0 ,0 ,0.0 ,43 ,144.6 ,43 ,144.6 
Desconocido ,& ,- ,152 ,- ,0 ,- ,35 ,- ,35 ,- 
Total ,,836096 ,6064 ,725.3 ,61 ,7.3 ,972 ,116.3 ,971 ,116.1 
