MariaPinto&,00,O,O,0,O,1,0,2,2,18,25,38,37,42,26,28,46,32,29,20,8,1
Melipilla & ,0 1 ,1 ,6 ,5 ,5 ,8 ,24 ,37 ,85 ,107 ,212 ,354 ,481 ,475 ,419 ,449 ,349 ,294 ,219 ,134 ,71 ,10 
Nunoa & ,1 1 ,27 ,55 ,44 ,48 ,48 ,68 ,71 ,154 ,372 ,539 ,760 ,657 ,652 ,555 ,379 ,307 ,200 ,181 ,78 ,75 ,11 
Padre Hurtado & ,O 1 ,O ,5 ,10 ,5 ,13 ,10 ,16 ,62 ,98 ,171 ,251 ,231 ,281 ,233 ,187 ,175 ,122 ,107 ,45 ,54 ,5 
Paine & ,0 1 ,0 ,3 ,0 ,4 ,7 ,3 ,5 ,29 ,84 ,86 ,133 ,152 ,274 ,237 ,210 ,197 ,183 ,108 ,64 ,40 ,3 
Pedro Aguirre & Cerda ,O O ,3 ,7 ,15 ,25 ,47 ,32 ,75 ,179 ,366 ,428 ,401 ,510 ,578 ,428 ,345 ,236 ,220 ,142 ,101 ,70 ,11 
Penaflor & ,1 1 ,5 ,3 ,9 ,6 ,10 ,15 ,28 ,59 ,110 ,212 ,309 ,316 ,340 ,323 ,323 ,207 ,154 ,211 ,75 ,54 ,18 
Penalolen & ,1 2 ,9 ,30 ,36 ,40 ,53 ,71 ,122 ,409 ,984 ,1335 ,1655 ,1597 ,1435 ,1109 ,845 ,580 ,444 ,321 ,201 ,173 ,26 
Pirque ,O 1 ,3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,161 ,153 ,117 ,113 ,84 ,76 ,75 ,37 ,20 ,10 ,2 
Providencia & ,0 3 ,28 ,64 ,22 ,25 ,35 ,42 ,40 ,96 ,283 ,322 ,400 ,430 ,295 ,238 ,208 ,177 ,153 ,117 ,68 ,60 ,6 
Pudahuel & ,1 1 ,3 ,20 ,27 ,37 ,44 ,48 ,139 ,366 ,670 ,1021 ,1294 ,1271 ,1327 ,866 ,744 ,504 ,388 ,329 ,258 ,132 ,20 
Puente Alto & ,2 4 ,12 ,65 ,105 ,186 ,208 ,333 ,384 ,864 ,1580 ,2221 ,2580 ,2602 ,2826 ,2394 ,1889 ,1443 ,1034 ,708 ,526 ,285 ,64 
Quilicura & ,O 3 ,3 ,21 ,30 ,44 ,47 ,143 ,334 ,555 ,821 ,961 ,897 ,1042 ,1107 ,896 ,656 ,408 ,327 ,229 ,159 ,134 ,24 
Quinta Normal & ,1 2 ,6 ,14 ,27 ,40 ,50 ,53 ,99 ,268 ,465 ,590 ,713 ,773 ,671 ,539 ,414 ,323 ,253 ,247 ,109 ,106 ,14 
Recoleta & ,O O ,7 ,14 ,17 ,41 ,46 ,117 ,284 ,746 ,1182 ,1132 ,994 ,878 ,780 ,584 ,510 ,304 ,247 ,177 ,99 ,101 ,15 
Renca & ,0 0 ,5 ,7 ,11 ,8 ,36 ,68 ,111 ,297 ,630 ,743 ,842 ,792 ,860 ,807 ,897 ,611 ,493 ,413 ,305 ,233 ,2 
San Bernardo & ,O 1 ,6 ,24 ,42 ,67 ,81 ,124 ,159 ,344 ,662 ,895 ,1070 ,1297 ,1419 ,1250 ,1075 ,830 ,581 ,412 ,243 ,190 ,17 
San Joaquin & ,O O ,1 ,17 ,23 ,15 ,34 ,44 ,84 ,230 ,504 ,645 ,468 ,497 ,566 ,475 ,350 ,267 ,200 ,182 ,153 ,70 ,17 
San Jose de Maipo & ,O 0 ,1 ,1 ,2 ,2 ,3 ,1 ,4 ,24 ,50 ,57 ,92 ,67 ,78 ,62 ,43 ,42 ,28 ,32 ,15 ,26 ,5 
San Miguel & ,1 0 ,3 ,27 ,23 ,28 ,47 ,49 ,79 ,209 ,446 ,520 ,617 ,586 ,639 ,467 ,435 ,255 ,214 ,165 ,119 ,52 ,39 
San Pedro & ,O O ,O ,O ,O ,O ,O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,28 ,11 ,32 ,29 ,19 ,12 ,6 ,2 ,O 
San Ramon & ,O O ,1 ,2 ,11 ,11 ,13 ,42 ,90 ,250 ,455 ,555 ,535 ,462 ,550 ,415 ,300 ,197 ,183 ,167 ,100 ,61 ,6 
Santiago & ,1 3 ,30 ,100 ,107 ,151 ,168 ,176 ,393 ,954 ,1695 ,1706 ,1858 ,1617 ,1467 ,1187 ,983 ,627 ,501 ,413 ,231 ,150 ,23 
Talagante & ,0 0 ,0 ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,59 ,97 ,122 ,153 ,180 ,218 ,207 ,186 ,136 ,73 ,52 ,71 ,5 
Tiltil ,O O ,O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,44 ,58 ,62 ,93 ,62 ,50 ,44 ,37 ,15 ,15 ,11 ,1 
Vitacura & ,O 6 ,32 ,50 ,29 ,14 ,7 ,5 ,13 ,56 ,161 ,216 ,185 ,153 ,136 ,100 ,96 ,81 ,52 ,32 ,29 ,19 ,6 
Desconocido & ,0 0 ,7 ,10 ,19 ,55 ,177 ,363 ,578 ,725 ,1487 ,2376 ,2574 ,1764 ,1504 ,1493 ,1518 ,932 ,529 ,377 ,207 ,249 ,136 
