ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,7338 ,2910.6 ,536 ,212.6 
Region de Tarapaca ,382773 ,11622 ,3036.3 ,586 ,153.1 
Region de Antofagasta ,691854 ,19378 ,2800.9 ,778 ,112.5 
Region de Atacama ,314709 ,5902 ,1875.4 ,437 ,138.9 
Region de Coquimbo ,836096 ,11768 ,1407.5 ,1034 ,123.7 
Region de Valparaiso ,1960170 ,32749 ,1670.7 ,2227 ,113.6 
Region Metropolitana de Santiago ,8125072 ,306670 ,3774.4 ,5625 ,69.2 
Region General del Libertador Bernardo OHiggins ,991063 ,16875 ,1702.7 ,1193 ,120.4 
Region del Maule ,1131939 ,13042 ,1152.2 ,959 ,84.7 
Region del Nuble ,511551 ,6370 ,1245.2 ,904 ,176.7 
Region del Biobio ,1663696 ,20767 ,1248.2 ,2924 ,175.8 
Region de la Araucania ,1014343 ,5358 ,528.2 ,352 ,34.7 
Region de LOs Rios ,405835 ,1229 ,302.8 ,110 ,27.1 
Region de Los Lagos ,891440 ,7200 ,807.7 ,725 ,81.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,125 ,116.5 ,20 ,18.6 
Region de Magallanes y la Antartica Chilena ,178362 ,4089 ,2292.5 ,1082 ,606.6 
Desconocido ,- ,54 ,- ,O ,- 
Total pais ,19458310 ,470536 ,2418.2 ,19492 ,100.2 
