ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,653 ,259.0 ,177 ,70.2 ,469 
Region de Tarapaca ,382773 ,2522 ,658.9 ,900 ,235.1 ,1603 
Region de Antofagasta ,691854 ,2542 ,367.4 ,363 ,52.5 ,2140 
Region de Atacama ,314709 ,237 ,75.3 ,65 ,20.7 ,172 
Region de Coquimbo ,836096 ,681 ,81.4 ,174 ,20.8 ,501 
Region de Valparaiso ,1960170 ,3392 ,173.0 ,806 ,41.1 ,2505 
Region Metropolitana de Santiago ,8125072 ,85123 ,1047.7 ,17849 ,219.7 ,66223 
Region del Libertador Genera Bernardo OHiggins ,991063 ,845 ,85.3 ,149 ,15.0 ,682 
Region del Maule ,1131939 ,1377 ,121.6 ,521 ,46.0 ,837 
Region del Nuble ,511551 ,1303 ,254.7 ,222 ,43.4 ,1058 
Region del Biobio ,1663696 ,2074 ,124.7 ,749 ,45.0 ,1313 
Region de la Araucania ,1014343 ,2102 ,207.2 ,330 ,32.5 ,1725 
Region de Los Rios ,405835 ,370 ,91.2 ,95 ,23.4 ,269 
Region de Los Lagos ,891440 ,836 ,93.8 ,156 ,17.5 ,667 
Region de Aysen de General Carlos lbanez del Campo ,107297 ,13 ,12.1 ,8 ,7.5 ,5 
Region de Magallanes y la Antartica Chilena ,178362 ,1056 ,592.1 ,54 ,30.3 ,983 
Desconocido ,- ,33 ,- ,2 ,- ,31 
Total pais ,19458310 ,105159 ,540.4 ,22620 ,116.2 ,81183 
