,VillaAlegre,6,5,11
,Yerbas Buenas ,4 ,2 ,6 
,Bulnes ,8 ,3 ,11 
,Chillan ,26 ,14 ,40 
,Chillan Viejo ,2 ,,2 
,Cobquecura ,3 ,8 ,11 
,Coelemu ,4 ,1 ,5 
,Coihueco ,3 ,6 ,9 
,EI Carmen ,1 ,,1 
,Ninhue Niquen ,3 3 ,2 ,5 3 
Nuble ,Pemuco ,,1 ,1 
,Portezuelo ,1 ,,1 
,Quillon ,3 ,3 ,6 
,Quirihue ,1 ,3 ,4 
,Ranquil ,,1 ,1 
,San Carlos ,8 ,4 ,12 
,San Ignacio ,6 ,1 ,7 
,San Nicolas ,3 ,1 ,4 
,Treguaco ,1 ,1 ,2 
,Yungay ,1 ,2 ,3 
,Alto Biobio ,1 ,,1 
,Arauco ,3 ,9 ,12 
,Cabrero ,2 ,4 ,6 
,Canete ,1 ,6 ,7 
,Chiguayante ,13 ,11 ,24 
,Concepcion ,35 ,17 ,52 
,Contulmo ,,3 ,3 
,Coronel ,13 ,27 ,40 
,Curanilahue ,4 ,6 ,10 
,Florida ,2 ,1 ,3 
,Hualpen ,18 ,6 ,24 
,Hualqui Laja ,6 ,1 2 ,7 2 
,Lebu ,,4 ,4 
,Los Alamos ,,1 ,1 
,Los Angeles ,14 ,12 ,26 
Biobio ,Lota ,4 ,6 ,10 
,Mulchen ,1 ,3 ,4 
,Nacimiento ,3 ,4 ,7 
,Negrete ,1 ,1 ,2 
,Penco ,12 ,8 ,20 
,Quilaco ,,1 ,1 
,Quilleco ,2 ,1 ,3 
,San Pedro de la Paz ,21 ,8 ,29 
,San Rosendo ,1 ,,1 
,Santa Barbara ,4 ,2 ,6 
,Santa Juana ,3 ,4 ,7 
,Talcahuano ,28 ,12 ,40 
,Tirua ,,1 ,1 
,Tome ,6 ,11 ,17 
,Tucapel ,1 ,1 ,2 
,Yumbel ,2 ,2 ,4 
,Angol ,14 ,8 ,22 
,Carahue ,1 ,10 ,11 
,Cholchol ,,1 ,1 
,Collipulli ,4 ,,4 
,Cunco ,2 ,7 ,9 
Araucania ,Curacautin ,2 ,2 ,4 
,Ercilla ,3 ,1 ,4 
,Freire ,1 ,,1 
,Galvarino ,1 ,5 ,6 
,Gorbea ,1 ,3 ,4 
,Lautaro ,4 ,4 ,8 
,Loncoche ,1 ,2 ,3 
