,SESESE,SE,SE,SE,SESE,SE,SE,SE,SESE,SE,SESE,SESE,SE,SESESESE,SE,SESE
Comuna ,9 10 11 ,12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 21 ,22 ,23 24 ,25 26 ,27 ,28 29 30 31 ,32 ,33 34 
Angol ,O 1 1 ,3 ,10 ,11 ,15 35 ,27 ,11 ,11 ,7 24 ,19 ,57 59 ,42 30 ,40 ,29 25 30 24 ,30 ,13 O 
Carahue ,O O O ,O ,3 ,10 ,9 8 ,5 ,1 ,0 ,3 14 ,11 ,5 5 ,5 2 ,2 ,5 3 12 12 ,8 ,7 0 
Cholchol ,0 0 0 ,1 ,2 ,0 ,0 1 ,0 ,0 ,1 ,0 1 ,12 ,5 1 ,0 0 ,6 ,4 2 2 1 ,1 ,0 0 
Collipulli & ,0 O O ,O ,O ,1 ,1 1 ,3 ,O ,2 ,9 9 ,7 ,7 9 ,6 10 ,3 ,O 1 2 29 ,43 ,20 O 
Cunco ,O O O ,0 ,3 ,2 ,O 1 ,O ,O ,1 ,5 18 ,O ,11 8 ,3 5 ,4 ,12 8 6 5 ,8 ,6 0 
Curacautin ,0 O 0 ,2 ,O ,2 ,0 0 ,2 ,0 ,1 ,0 0 ,2 ,4 9 ,0 1 ,1 ,4 2 4 0 ,O ,1 0 
Curarrehue ,O 0 1 ,1 ,2 ,O ,0 O ,O ,0 ,O ,O 0 ,O ,0 0 ,0 0 ,O ,O O O 0 ,O ,0 0 
Ercilla ,O O O ,O ,O ,4 ,O 5 ,1 ,1 ,O ,O 4 ,1 ,2 2 ,0 0 ,2 ,8 5 20 2 ,5 ,6 O 
Freire ,O O 0 ,2 ,4 ,O ,0 2 ,O ,1 ,11 ,11 28 ,16 ,18 6 ,9 2 ,1 ,4 3 5 0 ,2 ,O 0 
Galvarino ,O O O ,0 ,O ,2 ,O O ,O ,1 ,O ,O 6 ,43 ,41 13 ,6 10 ,11 ,O O O 1 ,O ,0 0 
Gorbea ,0 O 1 ,4 ,4 ,1 ,0 1 ,0 ,1 ,3 ,0 5 ,5 ,5 6 ,O 0 ,0 ,2 O 1 1 ,5 ,0 O 
Lautaro ,1 O O ,6 ,3 ,15 ,5 6 ,2 ,6 ,11 ,3 14 ,21 ,6 10 ,4 6 ,3 ,8 11 24 7 ,6 ,7 0 
