Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& ,22607 ,382 ,1689.7 ,7 ,31.0 ,40 ,176.9 ,39 ,172.5 
Chillan ,& ,198624 ,1732 ,872.0 ,17 ,8.6 ,93 ,46.8 ,92 ,46.3 
Chillan Viejo ,& ,33827 ,289 ,854.3 ,2 ,5.9 ,11 ,32.5 ,11 ,32.5 
Cobquecura ,,5275 ,2 ,37.9 ,O ,0.0 ,1 ,19.0 ,1 ,19.0 
Coelemu ,& ,16845 ,76 ,451.2 ,2 ,11.9 ,4 ,23.7 ,4 ,23.7 
Coihueco ,& ,28375 ,209 ,736.6 ,4 ,14.1 ,20 ,70.5 ,20 ,70.5 
EI Carmen ,& ,12334 ,102 ,827.0 ,2 ,16.2 ,10 ,81.1 ,10 ,81.1 
Ninhue ,,5414 ,48 ,886.6 ,3 ,55.4 ,4 ,73.9 ,4 ,73.9 
Niquen ,,11567 ,90 ,778.1 ,2 ,17.3 ,10 ,86.5 ,10 ,86.5 
Pemuco ,,8639 ,103 ,1192.3 ,2 ,23.2 ,1 ,11.6 ,1 ,11.6 
Pinto ,,11880 ,68 ,572.4 ,O ,0.0 ,4 ,33.7 ,4 ,33.7 
Portezuelo ,& ,4940 ,21 ,425.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Quillon ,& ,18777 ,183 ,974.6 ,4 ,21.3 ,11 ,58.6 ,11 ,58.6 
Quirihue ,& ,12192 ,67 ,549.5 ,2 ,16.4 ,5 ,41.0 ,5 ,41.0 
Ranquil ,& ,6261 ,41 ,654.8 ,O ,0.0 ,5 ,79.9 ,5 ,79.9 
San Carlos ,,56252 ,495 ,880.0 ,6 ,10.7 ,24 ,42.7 ,23 ,40.9 
San Fabian ,,4654 ,14 ,300.8 ,O ,0.0 ,1 ,21.5 ,1 ,21.5 
San Ignacio ,,16624 ,174 ,1046.7 ,4 ,24.1 ,17 ,102.3 ,17 ,102.3 
San Nicolas ,& ,12172 ,117 ,961.2 ,3 ,24.6 ,6 ,49.3 ,6 ,49.3 
Treguaco ,,5696 ,8 ,140.4 ,1 ,17.6 ,3 ,52.7 ,3 ,52.7 
Yungay ,,18596 ,132 ,709.8 ,1 ,5.4 ,14 ,75.3 ,14 ,75.3 
Desconocido ,& ,- ,4 ,- ,O ,- ,2 ,- ,2 ,- 
