Pitrufquen&,26096,81,310.4,0,0.0,4,15.3,4,15.3,O004,9,4,O1,04,26,15,238320
Pucon& ,29782 ,73 ,245.1 ,0 ,0.0 ,7 ,23.5 ,7 ,23.5 ,O O 1 3 ,O ,4 ,3 1 ,3 0 ,3 2 ,13 ,19 12 5 4 0 
Puren ,12188 ,19 ,155.9 ,1 ,8.2 ,10 ,82.0 ,10 ,82.0 ,O O 0 O ,2 ,0 ,0 2 ,O 2 ,1 O ,1 ,1 0 6 4 0 
Renaico ,10833 ,38 ,350.8 ,1 ,9.2 ,9 ,83.1 ,9 ,83.1 ,O O 0 O ,O ,1 ,3 2 ,1 4 ,3 5 ,4 ,2 3 5 5 O 
Saavedra ,12793 ,100 ,781.7 ,0 ,0.0 ,4 ,31.3 ,4 ,31.3 ,0 0 1 1 ,0 ,1 ,5 8 ,17 13 ,18 11 ,9 ,5 7 4 0 0 
Temuco& ,302931 ,926 ,305.7 ,19 ,6.3 ,44 ,14.5 ,44 ,14.5 ,O 3 27 157 ,177 ,128 ,113 58 ,23 27 ,50 43 ,29 ,15 25 31 20 0 
Teodoro Schmidt& ,15786 ,34 ,215.4 ,0 ,0.0 ,21 ,133.0 ,21 ,133.0 ,0 O 0 1 ,2 ,0 ,1 1 ,O 0 ,O 1 ,3 ,1 2 13 9 0 
Tolten ,10055 ,17 ,169.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 4 ,2 ,2 ,0 O ,0 0 ,0 2 ,5 ,1 1 0 0 0 
Traiguen ,19314 ,39 ,201.9 ,0 ,0.0 ,8 ,41.4 ,8 ,41.4 ,0 O 0 O ,0 ,1 ,0 1 ,0 0 ,1 4 ,4 ,7 7 11 3 0 
Victoria& ,35467 ,160 ,451.1 ,3 ,8.5 ,12 ,33.8 ,12 ,33.8 ,O O 1 2 ,9 ,2 ,2 30 ,20 11 ,2 4 ,18 ,15 24 20 0 0 
Vilcun& ,30766 ,106 ,344.5 ,1 ,3.3 ,4 ,13.0 ,4 ,13.0 ,0 0 0 6 ,11 ,15 ,9 3 ,5 4 ,5 7 ,22 ,8 7 3 1 0 
Villarrica ,59103 ,71 ,120.1 ,1 ,1.7 ,22 ,37.2 ,21 ,35.5 ,0 0 0 2 ,10 ,6 ,1 O ,1 0 ,1 2 ,4 ,7 7 16 14 0 
Desconocido& ,- ,7 ,- ,0 ,- ,3 ,- ,3 ,- ,O 0 0 O ,1 ,0 ,0 O ,0 0 ,1 O ,1 ,1 O 1 2 0 
Total ,1014343 ,3135 ,309.1 ,41 ,4.0 ,356 ,35.1 ,355 ,35.0 ,1 4 33 218 ,297 ,242 ,200 201 ,131 110 ,155 186 ,294 ,294 321 297 151 0 
