Talagante&,81838,155,189.4,60,73.3,60,73.3,0004,7,7,4,10,8,29,43,36,7
Tiltil& ,21477 ,40 ,186.2 ,17 ,79.2 ,17 ,79.2 ,0 0 0 2 ,1 ,2 ,1 ,1 ,3 ,6 ,11 ,12 ,1 
Vitacura ,96774 ,485 ,501.2 ,190 ,196.3 ,190 ,196.3 ,0 7 31 46 ,29 ,13 ,5 ,5 ,13 ,52 ,132 ,142 ,10 
Total ,8125072 ,48266 ,594.0 ,17039 ,209.7 ,16979 ,209.0 ,6 65 324 948 ,1021 ,1251 ,1563 ,2246 ,4129 ,9264 ,15138 ,11353 ,957 
