Comuna,Poblacion,Confirmados,Tasadeincidencia
Andacollo ,11791 ,- ,"0,0 "
Canela ,9546 ,- ,"0,0 "
Combarbala ,13884 ,- ,"0,0 "
Coquimbo ,256735 ,19 ,"7,4 "
Illapel ,32801 ,- ,"0,0 "
La Higuera ,4450 ,- ,"0,0 "
La Serena ,249656 ,8 ,"3,2 "
Los Vilos ,23374 ,- ,"4,3 "
Monte Patria ,32527 ,- ,"0,0 "
Ovalle ,121269 ,4 ,"3,3 "
Paiguano ,4675 ,- ,"0,0 "
Punitaqui ,12165 ,- ,"0,0 "
Rio Hurtado ,4372 ,- ,"22,9 "
Salamanca ,29110 ,- ,"6,9 "
Vicuna ,29741 ,- ,"0,0 "
Total ,836096 ,35 ,"4,2 "
