,&,0,326,156,174,129,113,58,25,27,49,43,28,16,20,30,28,45,57,46,44,55,10
,,O ,O O ,1 ,2 ,O ,1 ,1 ,O ,O ,O ,1 ,3 ,1 ,2 ,9 ,6 ,3 ,1 ,O ,0 ,O ,O 
,,O ,O O ,4 ,1 ,2 ,1 ,O ,O ,O ,O ,2 ,5 ,1 ,O ,O ,O ,O ,1 ,O ,O ,O ,1 
,,0 ,O O ,O ,O ,1 ,O ,1 ,O ,O ,1 ,4 ,4 ,5 ,6 ,7 ,6 ,8 ,3 ,O ,1 ,10 ,O 
,& ,O ,O 1 ,2 ,9 ,2 ,1 ,31 ,20 ,11 ,2 ,4 ,20 ,14 ,23 ,22 ,2 ,4 ,3 ,5 ,13 ,11 ,4 
,,O ,O O ,6 ,11 ,15 ,8 ,4 ,3 ,5 ,6 ,7 ,21 ,9 ,7 ,4 ,5 ,2 ,7 ,6 ,5 ,15 ,O 
,,O ,O O ,2 ,10 ,6 ,1 ,1 ,O ,O ,1 ,2 ,4 ,7 ,7 ,23 ,19 ,15 ,3 ,O ,4 ,2 ,O 
Desconocido ,& ,O ,O O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,O ,O 
,,1 ,4 32 ,217 ,291 ,243 ,200 ,204 ,130 ,106 ,154 ,183 ,295 ,279 ,300 ,285 ,206 ,215 ,196 ,156 ,164 ,223 ,31 
