,Santiago,260,208,468
,Talagante ,66 ,19 ,85 
,Tiltil ,13 ,3 ,16 
,Vitacura ,67 ,14 ,81 
,Chepica ,3 ,4 ,7 
,Chimbarongo ,5 ,2 ,7 
,Codegua ,8 ,5 ,13 
,Coinco ,2 ,2 ,4 
,Coltauco ,17 ,1 ,18 
,Donihue ,5 ,7 ,12 
,Graneros ,3 ,7 ,10 
,Las Cabras ,10 ,6 ,16 
,Litueche ,2 ,1 ,3 
,Lolol ,,2 ,2 
,Machali ,19 ,8 ,27 
,Malloa ,3 ,5 ,8 
,Marchihue ,,1 ,1 
,Mostazal ,5 ,3 ,8 
,Nancagua ,3 ,4 ,7 
,Navidad ,3 ,2 ,5 
O'Higgins ,Olivar ,3 ,2 ,5 
,Palmilla ,5 ,1 ,6 
,Paredones ,1 ,,1 
,Peralillo ,1 ,,1 
,Peumo ,6 ,5 ,11 
,Pichidegua ,4 ,4 ,8 
,Pichilemu ,3 ,5 ,8 
,Placilla ,1 ,,1 
,Pumanque ,1 ,,1 
,Quinta de Tilcoco ,5 ,1 ,6 
,Rancagua ,126 ,50 ,176 
,Rengo ,28 ,16 ,44 
,Requinoa ,11 ,4 ,15 
,San Fernando ,12 ,7 ,19 
,San Vicente ,10 ,15 ,25 
,Santa Cruz ,8 ,9 ,17 
,Cauquenes ,12 ,13 ,25 
,Chanco ,1 ,3 ,4 
,Colbun ,3 ,5 ,8 
,Constitucion ,5 ,6 ,11 
,Curepto ,5 ,3 ,8 
,Curico ,63 ,21 ,84 
,Empedrado ,,1 ,1 
,Hualane ,2 ,4 ,6 
,Licanten ,2 ,2 ,4 
,Linares ,23 ,17 ,40 
,Longavi ,1 ,6 ,7 
,Maule ,3 ,9 ,12 
,Molina ,14 ,9 ,23 
Maule ,Parral ,3 ,2 ,5 
,Pelarco ,3 ,2 ,5 
,Pelluhue ,3 ,1 ,4 
,Pencahue ,,1 ,1 
,Rauco ,1 ,2 ,3 
,Retiro ,,2 ,2 
,Rio Claro ,3 ,2 ,5 
,Romera ,5 ,1 ,6 
,Sagrada Familia ,1 ,4 ,5 
,San Clemente ,11 ,1 ,12 
,San Javier ,12 ,13 ,25 
,Talca ,45 ,21 ,66 
,Teno ,4 ,4 ,8 
,Vichuquen ,1 ,,1 
,Villa Alegre ,5 ,4 ,9 
