Pucon,29782,98,329.1,4,13.4,4,13.4
Puren ,12188 ,46 ,377.4 ,O ,0.0 ,O ,0.0 
Renaico ,10833 ,73 ,673.9 ,11 ,101.5 ,11 ,101.5 
Saavedra ,12793 ,110 ,859.8 ,12 ,93.8 ,12 ,93.8 
Temuco ,302931 ,1463 ,482.9 ,70 ,23.1 ,70 ,23.1 
Teodoro Schmidt ,15786 ,33 ,209.0 ,1 ,6.3 ,1 ,6.3 
Tolten ,10055 ,18 ,179.0 ,O ,0.0 ,O ,0.0 
Traiguen ,19314 ,65 ,336.5 ,1 ,5.2 ,1 ,5.2 
Victoria ,35467 ,262 ,738.7 ,12 ,33.8 ,12 ,33.8 
Vilcun ,30766 ,209 ,679.3 ,7 ,22.8 ,7 ,22.8 
Villarrica ,59103 ,113 ,191.2 ,3 ,5.1 ,3 ,5.1 
Desconocido ,& - ,3 ,- ,2 ,- ,2 ,- 
Total ,1014343 ,5358 ,528.2 ,352 ,34.7 ,352 ,34.7 
