Panquehue,7633,14,183.4,3,39.3,3,39.3,OO00,0,00,0O,0,33,5,3O
Papudo& ,6201 ,14 ,225.8 ,6 ,96.8 ,6 ,96.8 ,0 O O 0 ,0 ,0 0 ,O O ,O ,O 6 ,2 ,6 O 
Petorca ,10558 ,21 ,198.9 ,7 ,66.3 ,7 ,66.3 ,O O O 1 ,4 ,1 O ,O O ,O ,1 4 ,4 ,6 O 
Puchuncavi ,20071 ,18 ,89.7 ,6 ,29.9 ,6 ,29.9 ,O O O O ,O ,O O ,O O ,O ,2 7 ,4 ,5 O 
Putaendo ,17645 ,34 ,192.7 ,8 ,45.3 ,8 ,45.3 ,0 O 0 1 ,0 ,0 1 ,3 2 ,2 ,6 7 ,6 ,5 1 
Quillota8 ,97572 ,107 ,109.7 ,20 ,20.5 ,20 ,20.5 ,0 1 O 4 ,7 ,3 7 ,1 5 ,3 ,16 17 ,30 ,12 1 
Quilpue ,167085 ,285 ,170.6 ,61 ,36.5 ,61 ,36.5 ,O 1 3 3 ,9 ,6 4 ,5 12 ,17 ,43 73 ,68 ,41 O 
Quintero ,36135 ,97 ,268.4 ,22 ,60.9 ,20 ,55.3 ,1 O O 3 ,1 ,O O ,6 2 ,3 ,21 23 ,24 ,12 1 
Rinconada ,11263 ,48 ,426.2 ,20 ,177.6 ,20 ,177.6 ,0 0 0 O ,0 ,3 0 ,O O ,O ,2 13 ,17 ,13 O 
San Antonio& ,96761 ,472 ,487.8 ,100 ,103.3 ,100 ,103.3 ,O O O O ,5 ,14 10 ,22 38 ,65 ,60 97 ,85 ,72 4 
San Esteban ,20643 ,29 ,140.5 ,11 ,53.3 ,11 ,53.3 ,O O O O ,O ,O O ,1 2 ,2 ,6 3 ,9 ,6 O 
San Felipe& ,83494 ,187 ,224.0 ,68 ,81.4 ,64 ,76.7 ,O O O 3 ,2 ,2 O ,O 2 ,4 ,15 56 ,53 ,44 6 
Santa Maria ,16367 ,33 ,201.6 ,4 ,24.4 ,4 ,24.4 ,O O 0 O ,2 ,O 0 ,O 4 ,13 ,2 5 ,4 ,3 O 
Santo Domingo ,11934 ,50 ,419.0 ,6 ,50.3 ,6 ,50.3 ,O O 2 2 ,O ,6 4 ,4 4 ,5 ,4 10 ,6 ,3 O 
Valparaiso ,315732 ,765 ,242.3 ,219 ,69.4 ,218 ,69.0 ,0 1 2 9 ,17 ,12 18 ,14 26 ,81 ,110 132 ,190 ,146 7 
Villa Alemana8 ,139310 ,233 ,167.3 ,74 ,53.1 ,74 ,53.1 ,O O 1 7 ,3 ,3 O ,1 5 ,28 ,38 48 ,48 ,48 3 
Vina del Mar8 ,361371 ,861 ,238.3 ,220 ,60.9 ,218 ,60.3 ,O O 6 21 ,27 ,21 11 ,19 23 ,72 ,131 185 ,196 ,135 14 
Zapallar ,7994 ,3 ,37.5 ,0 ,0.0 ,0 ,0.0 ,O O 0 O ,O ,O O ,0 0 ,O ,0 3 ,0 ,O O 
Total ,1960170 ,4317 ,220.2 ,1119 ,57.1 ,1110 ,56.6 ,2 4 15 73 ,104 ,95 83 ,100 156 ,355 ,585 929 ,1022 ,745 49 
