ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,7514 ,2980.4 ,576 ,228.5 
Region de Tarapaca ,382773 ,11767 ,3074.1 ,525 ,137.2 
Region de Antofagasta ,691854 ,19640 ,2838.7 ,772 ,111.6 
Region de Atacama ,314709 ,6021 ,1913.2 ,414 ,131.6 
Region de Coquimbo ,836096 ,12090 ,1446.0 ,996 ,119.1 
Region de Valparaiso ,1960170 ,33539 ,1711.0 ,2266 ,115.6 
Region Metropolitana de Santiago ,8125072 ,308641 ,3798.6 ,5965 ,73.4 
Region del Libertador General Bernardo OHiggins ,991063 ,17244 ,1739.9 ,1197 ,120.8 
Region del Maule ,1131939 ,13463 ,1189.4 ,1152 ,101.8 
Region del Nuble ,511551 ,6636 ,1297.2 ,927 ,181.2 
Region del Biobio ,1663696 ,21701 ,1304.4 ,2990 ,179.7 
Region de la Araucania ,1014343 ,5502 ,542.4 ,403 ,39.7 
Region de Los Rios ,405835 ,1283 ,316.1 ,145 ,35.7 
Region de Los Lagos ,891440 ,7481 ,839.2 ,832 ,93.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,136 ,126.8 ,24 ,22.4 
Region de Magallanes y la Antartica Chilena ,178362 ,4694 ,2631.7 ,1452 ,814.1 
Desconocido ,- ,54 ,- ,O ,- 
Total pais ,19458310 ,477406 ,2453.5 ,20636 ,106.1 
