Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Alto Hospicio ,582 ,155 ,920 ,977 
Camina ,893 ,107 ,931 ,100 
Colchane ,333 ,222 ,100 ,100 
Huara ,333 ,444 ,100 ,625 
Iquique ,542 ,135 ,940 ,961 
Pica ,855 ,157 ,988 ,100 
Pozo Almonte ,831 ,140 ,979 ,615 
Total ,601 ,145 ,941 ,930 
