Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Ancud ,264 ,937 ,558 
Calbuco ,502 ,990 ,884 
Castro ,583 ,811 ,748 
Chaiten ,862 ,862 ,815 
Chonchi ,128 ,949 ,865 
Cochamo ,100 ,1000 ,700 
Curaco de Velez ,250 ,1000 ,750 
Dalcahue ,270 ,973 ,889 
Fresia ,493 ,979 ,832 
Frutillar ,490 ,962 ,684 
Futaleufu ,940 ,904 ,840 
Hualaihue ,556 ,1000 ,865 
Llanquihue ,458 ,993 ,874 
Los Muermos ,605 ,1000 ,839 
Maullin ,729 ,986 ,743 
Osorno ,472 ,940 ,790 
Palena ,923 ,712 ,946 
Puerto Montt ,483 ,959 ,752 
Puerto Octay ,500 ,810 ,724 
Puerto Varas ,391 ,947 ,794 
Puqueldon ,500 ,1000 ,1000 
Purranque ,358 ,945 ,752 
Puyehue ,500 ,808 ,909 
Queilen ,200 ,1000 ,1000 
Quellon ,686 ,971 ,941 
Quemchi ,167 ,833 ,1000 
Quinchao ,611 ,1000 ,944 
Rio Negro ,544 ,982 ,598 
San Juan de la Costa ,592 ,816 ,629 
