Hualpen,&0O323,33,27,178,2,6119,17,3126,70,85,109,71,69O
Hualqui ,O O 1 1 ,2 ,3 ,4 9 ,O ,1 2 5 ,12 ,7 13 ,17 ,38 ,30 ,15 ,11 O 
Laja ,0 1 1 O ,3 ,1 ,1 1 ,5 ,1 17 20 ,8 ,7 6 ,10 ,15 ,20 ,18 ,14 0 
Lebu ,O O O O ,O ,O ,O O ,O ,1 1 O ,O ,6 6 ,5 ,8 ,3 ,O ,2 O 
Los Alamos ,O O O O ,O ,O ,1 0 ,0 ,1 O 1 ,O ,3 4 ,4 ,38 ,27 ,11 ,9 O 
Los Angeles ,O O 3 6 ,9 ,6 ,5 4 ,O ,4 32 64 ,89 ,78 87 ,87 ,136 ,160 ,106 ,57 O 
Lota ,& O O O 1 ,O ,1 ,O O ,O ,1 16 10 ,15 ,21 23 ,45 ,67 ,62 ,55 ,25 O 
Mulchen ,O O O 1 ,4 ,O ,O O ,O ,2 3 1 ,1 ,11 3 ,3 ,12 ,27 ,23 ,13 O 
Nacimiento ,O O O 2 ,3 ,3 ,2 O ,1 ,3 8 4 ,8 ,7 6 ,20 ,30 ,28 ,18 ,11 O 
Negrete ,0 O O 0 ,O ,2 ,0 0 ,0 ,0 7 12 ,10 ,9 12 ,21 ,15 ,17 ,6 ,8 O 
Penco ,& O O O 1 ,4 ,3 ,3 8 ,O ,3 2 2 ,10 ,14 43 ,73 ,52 ,58 ,46 ,34 O 
Quilaco ,O O O O ,O ,O ,O O ,O ,O O O ,O ,2 3 ,1 ,1 ,4 ,O ,1 O 
Quilleco ,O O 0 O ,0 ,0 ,O 0 ,O ,0 O O ,1 ,2 2 ,2 ,1 ,8 ,12 ,8 O 
San Pedro de la Paz ,& 0 O 6 35 ,17 ,23 ,8 11 ,4 ,3 14 14 ,38 ,64 67 ,98 ,115 ,77 ,92 ,37 O 
San Rosendo ,O O O O ,O ,O ,O O ,O ,O 1 1 ,O ,2 2 ,O ,8 ,8 ,6 ,2 O 
Santa Barbara ,O O O O ,2 ,1 ,O O ,O ,O 4 9 ,7 ,19 7 ,8 ,23 ,9 ,14 ,7 O 
Santa Juana ,O 0 O O ,O ,1 ,O O ,1 ,O O O ,O ,3 17 ,22 ,15 ,7 ,2 ,5 O 
Talcahuano ,& O O 1 16 ,16 ,20 ,14 14 ,21 ,17 18 18 ,42 ,69 54 ,110 ,151 ,127 ,112 ,82 O 
Tirua ,O O O 1 ,2 ,1 ,O O ,O ,O O O ,O ,1 4 ,5 ,9 ,7 ,O ,O O 
Tome ,& O O O 9 ,13 ,13 ,7 9 ,1 ,4 16 6 ,8 ,15 53 ,63 ,65 ,33 ,13 ,5 O 
Tucapel ,O O O O ,O ,1 ,O O ,0 ,O 1 4 ,6 ,11 21 ,13 ,28 ,34 ,13 ,6 O 
Yumbel ,& O O O O ,5 ,O ,1 1 ,1 ,2 4 3 ,5 ,12 3 ,20 ,38 ,19 ,46 ,28 O 
Desconocido ,& O 0 O 1 ,O ,O ,O 0 ,0 ,O 2 4 ,6 ,7 9 ,11 ,35 ,43 ,10 ,17 0 
,,,,,,,,,,,,,
