Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& ,15925 ,139 ,872.8 ,4 ,25.1 ,21 ,131.9 ,21 ,131.9 
Chimbarongo ,& ,37696 ,167 ,443.0 ,3 ,8.0 ,18 ,47.8 ,18 ,47.8 
Codegua ,& ,14096 ,189 ,1340.8 ,5 ,35.5 ,37 ,262.5 ,37 ,262.5 
Coinco ,& ,7831 ,106 ,1353.6 ,3 ,38.3 ,12 ,153.2 ,12 ,153.2 
Coltauco ,,21263 ,174 ,818.3 ,5 ,23.5 ,44 ,206.9 ,44 ,206.9 
Donihue ,& ,22700 ,373 ,1643.2 ,5 ,22.0 ,49 ,215.9 ,49 ,215.9 
Graneros ,& ,36504 ,450 ,1232.7 ,3 ,8.2 ,45 ,123.3 ,45 ,123.3 
La Estrella ,,3114 ,34 ,1091.8 ,O ,0.0 ,3 ,96.3 ,3 ,96.3 
Las Cabras ,,26749 ,190 ,710.3 ,5 ,18.7 ,17 ,63.6 ,17 ,63.6 
Litueche ,& ,6765 ,77 ,1138.2 ,2 ,29.6 ,2 ,29.6 ,2 ,29.6 
Lolol ,& ,7289 ,46 ,631.1 ,1 ,13.7 ,0 ,0.0 ,0 ,0.0 
Machali ,& ,59913 ,934 ,1558.9 ,8 ,13.4 ,73 ,121.8 ,73 ,121.8 
Malloa ,& ,14163 ,104 ,734.3 ,4 ,28.2 ,24 ,169.5 ,24 ,169.5 
Marchihue ,& ,7632 ,27 ,353.8 ,0 ,0.0 ,8 ,104.8 ,8 ,104.8 
Mostazal ,& ,27462 ,232 ,844.8 ,4 ,14.6 ,23 ,83.8 ,23 ,83.8 
Nancagua ,& ,19141 ,91 ,475.4 ,3 ,15.7 ,8 ,41.8 ,8 ,41.8 
Navidad ,,6904 ,76 ,1100.8 ,1 ,14.5 ,3 ,43.5 ,3 ,43.5 
Olivar ,& ,14624 ,189 ,1292.4 ,3 ,20.5 ,12 ,82.1 ,12 ,82.1 
Palmilla ,,13299 ,39 ,293.3 ,2 ,15.0 ,3 ,22.6 ,3 ,22.6 
Paredones ,,6349 ,20 ,315.0 ,1 ,15.8 ,4 ,63.0 ,4 ,63.0 
Peralillo ,,11848 ,53 ,447.3 ,1 ,8.4 ,3 ,25.3 ,3 ,25.3 
