Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Arica ,548 ,150 ,944 ,909 
Camarones ,00 ,- ,100 ,100 
General Lagos ,333 ,556 ,947 ,100 
Putre ,909 ,30 ,942 ,100 
Total ,553 ,150 ,944 ,911 
