Melipilla,&0116,5,4,9,24,37,85,107,212,353,481,476,419,448,351,294,219,135,74,68,63,130
Nunoa ,& 1 1 27 55 ,44 ,48 ,48 ,68 ,73 ,153 ,372 ,542 ,760 ,664 ,655 ,553 ,382 ,313 ,205 ,184 ,84 ,90 ,104 ,89 ,9 O 
Padre Hurtado ,& 0 1 O 5 ,10 ,5 ,13 ,10 ,16 ,61 ,99 ,171 ,251 ,232 ,282 ,235 ,189 ,174 ,122 ,107 ,49 ,68 ,39 ,27 ,11 O 
Paine ,& 0 1 O 3 ,O ,4 ,7 ,3 ,5 ,29 ,84 ,86 ,133 ,152 ,274 ,237 ,210 ,195 ,182 ,109 ,65 ,50 ,32 ,61 ,4 O 
Pedro Aguirre Cerda ,& 0 0 3 7 ,15 ,26 ,47 ,32 ,75 ,178 ,365 ,430 ,401 ,511 ,579 ,431 ,342 ,239 ,222 ,145 ,105 ,87 ,79 ,61 ,4 0 
Penaflor ,& 1 1 5 3 ,9 ,6 ,10 ,16 ,27 ,59 ,109 ,213 ,308 ,315 ,339 ,319 ,317 ,206 ,154 ,212 ,78 ,66 ,59 ,44 ,13 0 
Pefalolen ,& 1 3 9 30 ,37 ,40 ,52 ,71 ,122 ,412 ,987 ,1339 ,1655 ,1598 ,1438 ,1109 ,846 ,579 ,450 ,324 ,202 ,201 ,168 ,121 ,17 0 
Pirque ,& O 1 3 1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 ,20 ,17 ,25 ,23 ,5 O 
Providencia ,& 0 3 28 64 ,22 ,25 ,35 ,41 ,41 ,96 ,283 ,326 ,404 ,430 ,294 ,239 ,208 ,180 ,156 ,119 ,68 ,61 ,66 ,65 ,11 0 
Pudahuel ,& 1 1 2 19 ,28 ,37 ,43 ,48 ,141 ,365 ,678 ,1032 ,1301 ,1273 ,1321 ,868 ,744 ,508 ,370 ,328 ,262 ,189 ,166 ,117 ,27 O 
Puente Alto ,& 2 4 12 65 ,106 ,186 ,209 ,333 ,385 ,862 ,1588 ,2234 ,2594 ,2606 ,2837 ,2395 ,1895 ,1445 ,1043 ,720 ,538 ,357 ,452 ,359 ,127 0 
Quilicura ,& 0 3 3 21 ,30 ,46 ,46 ,143 ,334 ,553 ,827 ,971 ,901 ,1046 ,1109 ,897 ,662 ,412 ,329 ,237 ,171 ,156 ,134 ,113 ,21 O 
Quinta Normal ,& 1 2 6 14 ,27 ,40 ,50 ,53 ,99 ,267 ,466 ,592 ,714 ,773 ,677 ,546 ,420 ,328 ,255 ,246 ,108 ,128 ,158 ,125 ,34 O 
Recoleta ,& 0 0 7 14 ,17 ,41 ,46 ,117 ,284 ,745 ,1187 ,1147 ,999 ,878 ,783 ,588 ,511 ,305 ,251 ,179 ,99 ,122 ,92 ,102 ,30 0 
