ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,874 ,8 ,346.7 ,3.2 ,0.9% 
Region de Tarapaca ,382773 ,3392 ,35 ,886.2 ,9.1 ,1.0% 
Region de Antofagasta ,691854 ,3245 ,45 ,469.0 ,6.5 ,1.4% 
Region de Atacama ,314709 ,339 ,0 ,107.7 ,0.0 ,0.0% 
Region de Coquimbo ,836096 ,1123 ,5 ,134.3 ,0.6 ,0.4% 
Region de Valparaiso ,1960170 ,5149 ,85 ,262.7 ,4.3 ,1.7% 
Region Metropolitana de Santiago ,8125072 ,112136 ,1950 ,1380.1 ,24.0 ,1.7% 
Region del Libertador General Bernardo OHiggins ,991063 ,1255 ,22 ,126.6 ,2.2 ,1.8% 
Region del Maule ,1131939 ,2176 ,18 ,192.2 ,1.6 ,0.8% 
Region del Nuble ,511551 ,1552 ,18 ,303.4 ,3.5 ,1.2% 
Region del Biobio ,1663696 ,2651 ,11 ,159.3 ,0.7 ,0.4% 
Region de la Araucania ,1014343 ,2410 ,32 ,237.6 ,3.2 ,1.3% 
Region de Los Rios ,405835 ,425 ,8 ,104.7 ,2.0 ,1.9% 
Region de Los Lagos ,891440 ,1010 ,12 ,113.3 ,1.3 ,1.2% 
Region de Aysen de General Carlos lbanez de Campo ,107297 ,21 ,0 ,19.6 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1088 ,15 ,610.0 ,8.4 ,1.4% 
Total pais ,19458310 ,138846 ,2264 ,713.6 ,11.6 ,1.6% 
