Paredones&,6349,6,94.5,0,0.0,1,15.8,1,15.8,00000OO0O0O,22,11O0
Peralillo ,11848 ,29 ,244.8 ,0 ,0.0 ,13 ,109.7 ,13 ,109.7 ,0 0 0 0 0 O 0 0 O 0 O ,2 7 ,7 11 2 0 
Peumo ,14952 ,12 ,80.3 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 1 O 0 0 O 2 3 ,2 2 ,2 0 0 0 
Pichidegua ,20743 ,15 ,72.3 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 O 0 O 0 O 1 2 ,8 2 ,2 0 0 O 
Pichilemu8 ,17882 ,16 ,89.5 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 0 O 0 O O 2 1 ,3 7 ,3 0 0 0 
Placilla& ,9164 ,20 ,218.2 ,O ,0.0 ,6 ,65.5 ,6 ,65.5 ,0 0 0 O 1 O 0 0 O 0 1 ,4 3 ,5 4 2 O 
Pumanque ,3531 ,2 ,56.6 ,0 ,0.0 ,1 ,28.3 ,1 ,28.3 ,0 0 0 O 0 O 0 O O 0 O ,0 O ,1 0 1 0 
Quinta de Tilcoco& ,13877 ,7 ,50.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 0 O 0 0 O 0 O ,1 1 ,4 0 0 O 
Rancagua& ,265211 ,904 ,340.9 ,12 ,4.5 ,185 ,69.8 ,184 ,69.4 ,1 0 0 8 4 6 3 7 11 25 82 ,157 199 ,198 154 49 0 
Rengo& ,63710 ,98 ,153.8 ,0 ,0.0 ,16 ,25.1 ,16 ,25.1 ,0 0 0 1 1 O 0 4 5 3 7 ,17 27 ,17 11 5 O 
Requinoa& ,30371 ,51 ,167.9 ,0 ,0.0 ,6 ,19.8 ,6 ,19.8 ,0 0 0 2 0 0 0 0 2 0 4 ,5 12 ,16 7 3 0 
San Fernando& ,78642 ,80 ,101.7 ,2 ,2.5 ,15 ,19.1 ,15 ,19.1 ,0 0 0 2 1 1 0 0 0 2 7 ,8 23 ,15 13 8 0 
San Vicente& ,50617 ,81 ,160.0 ,2 ,4.0 ,5 ,9.9 ,5 ,9.9 ,0 0 0 0 3 1 0 0 3 3 15 ,24 15 ,10 5 2 0 
Santa Cruz& ,41096 ,46 ,111.9 ,1 ,2.4 ,20 ,48.7 ,20 ,48.7 ,0 0 0 0 1 O 0 1 1 0 5 ,3 8 ,6 17 4 0 
Total ,991063 ,2044 ,206.2 ,30 ,3.0 ,411 ,41.5 ,409 ,41.3 ,1 0 1 20 17 10 10 17 43 64 205 ,363 438 ,400 327 128 0 
