Puqueldon,4201,0,0.0,0,0.0,0,0.0,O,0.0,OO00,0O0OO0O0O,0O,O0O0
Purranque ,21080 ,76 ,360.5 ,0 ,0.0 ,1 ,4.7 ,1 ,4.7 ,O 0 0 0 ,3 12 5 1 4 6 1 6 13 ,22 2 ,O O 1 0 
Puyehue ,11787 ,13 ,110.3 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 1 ,1 1 1 1 1 2 O 1 O ,1 1 ,2 0 O 0 
Queilen ,5543 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O 0 0 O O O 0 0 O ,O O ,O 0 0 O 
Quellon ,29309 ,5 ,17.1 ,0 ,0.0 ,1 ,3.4 ,1 ,3.4 ,0 0 0 0 ,0 0 0 O O 1 0 0 0 ,0 O ,1 3 0 0 
Quemchi ,8783 ,14 ,159.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,O O 0 O 0 0 O 2 5 ,7 O ,O O 0 O 
Quinchao ,8298 ,2 ,24.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 O 0 O O O O 0 O ,0 O ,1 0 0 0 
Rio Negro ,14275 ,39 ,273.2 ,0 ,0.0 ,2 ,14.0 ,2 ,14.0 ,0 0 0 0 ,2 3 O 5 6 4 4 5 4 ,3 O ,1 1 1 0 
San Juan de la Costa ,7639 ,42 ,549.8 ,2 ,26.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 10 2 6 7 2 5 2 0 ,0 3 ,4 0 0 0 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,2 4 0 3 O 0 O 2 1 ,0 O ,O 0 0 0 
Desconocido& ,- ,46 ,- ,0 ,- ,11 ,- ,11 ,- ,0 0 9 10 ,3 1 0 0 2 0 O 1 2 ,3 1 ,1 7 6 0 
Total ,891440 ,1759 ,197.3 ,23 ,2.6 ,357 ,40.0 ,355 ,39.8 ,0 1 15 91 ,145 118 60 45 38 61 68 81 132 ,142 133 ,179 228 220 2 
