Paredones,6349,2,31.5,0,0.0,0,0.0,O000O,OO,000
Peralillo ,11848 ,3 ,25.3 ,1 ,8.4 ,1 ,8.4 ,0 0 0 0 0 ,O O ,0 O 0 
Peumo ,14952 ,7 ,46.8 ,O ,0.0 ,0 ,0.0 ,O O O O 1 ,O O ,O O 2 
& Pichidegua ,20743 ,11 ,53.0 ,O ,0.0 ,0 ,0.0 ,0 O O O O ,O O ,O O 1 
Pichilemu ,17882 ,9 ,50.3 ,1 ,5.6 ,1 ,5.6 ,0 O 0 O O ,O O ,O 0 2 
Placilla ,9164 ,7 ,76.4 ,1 ,10.9 ,1 ,10.9 ,0 O 0 O 1 ,O 0 ,0 0 0 
Pumanque ,3531 ,1 ,28.3 ,1 ,28.3 ,1 ,28.3 ,O O O O O ,O O ,O O O 
Quinta de Tilcoco ,13877 ,2 ,14.4 ,0 ,0.0 ,O ,0.0 ,O O O 1 O ,O O ,O O O 
Rancagua & ,265211 ,354 ,133.5 ,74 ,27.9 ,73 ,27.5 ,1 O 0 8 4 ,6 3 ,7 10 24 
Rengo ,63710 ,38 ,59.6 ,9 ,14.1 ,8 ,12.6 ,0 O O 1 1 ,O 0 ,4 5 2 
Requinoa ,30371 ,20 ,65.9 ,7 ,23.0 ,7 ,23.0 ,O O O 2 O ,O O ,O 2 O 
San Fernando & ,78642 ,34 ,43.2 ,13 ,16.5 ,13 ,16.5 ,O 0 O 2 1 ,1 O ,O O 2 
San Vicente ,50617 ,45 ,88.9 ,1 ,2.0 ,1 ,2.0 ,O O O O 3 ,1 O ,O 3 3 
Santa Cruz ,41096 ,15 ,36.5 ,3 ,7.3 ,3 ,7.3 ,O O O O 1 ,O O ,1 1 O 
Total ,991063 ,845 ,85.3 ,152 ,15.3 ,149 ,15.0 ,1 0 1 20 15 ,10 10 ,17 43 59 
