Lanco,00O0,1,2,1,2O3,O,O,O13,10,3,1OO,O
Los Lagos ,O O O O ,O ,O ,O ,O O O ,O ,1 ,12 11 13 ,22 ,3 ,O 1 0 ,O 
Mafil ,O 0 0 1 ,O ,0 ,O ,1 0 O ,O ,1 ,2 O 2 ,12 ,1 ,0 0 0 ,O 
Mariquina ,O 0 O 3 ,1 ,4 ,1 ,0 O O ,2 ,1 ,3 1 O ,3 ,O ,1 O 1 ,O 
Paillaco ,O O 0 1 ,O ,O ,O ,O O 0 ,O ,8 ,13 3 O ,2 ,3 ,O 2 1 ,O 
Panguipulli ,O O 0 O ,O ,0 ,O ,1 O 1 ,0 ,4 ,4 8 16 ,7 ,8 ,6 1 7 ,0 
Rio Bueno & ,O 0 0 3 ,1 ,3 ,2 ,1 2 1 ,O ,O ,3 1 1 ,1 ,3 ,3 3 1 ,O 
Valdivia ,O 1 1 25 ,32 ,25 ,18 ,8 8 4 ,2 ,10 ,30 24 15 ,26 ,38 ,35 30 18 ,0 
Desconocido & ,O O 1 O ,O ,0 ,1 ,1 0 O ,O ,O ,O 1 O ,1 ,1 ,0 O 0 ,O 
Total ,0 1 3 40 ,47 ,39 ,29 ,24 14 11 ,12 ,36 ,90 66 79 ,100 ,71 ,58 45 30 ,0 
