,0,,0,0,01,0,0,0,6,4,13,16,11,10,4,0
1137 ,O 0 0 1 ,,4 ,2 ,O 0 ,0 ,O ,1 ,4 ,5 ,9 ,4 ,5 ,13 ,7 ,0 
1445 ,0 0 0 0 ,,0 ,0 ,0 0 ,0 ,0 ,4 ,7 ,6 ,8 ,26 ,26 ,19 ,12 ,0 
,1 ,,0 ,1 ,2 4 ,2 ,2 ,7 ,7 ,7 ,14 ,29 ,27 ,24 ,24 ,0 
,3 ,,7 ,3 ,8 1 ,5 ,3 ,17 ,19 ,46 ,83 ,189 ,192 ,211 ,102 ,4 
,3 ,,9 ,6 ,5 5 ,12 ,19 ,47 ,77 ,79 ,109 ,157 ,156 ,204 ,94 ,6 
,3 ,,1 ,1 ,0 6 ,2 ,3 ,24 ,23 ,29 ,39 ,48 ,39 ,40 ,23 ,0 
2042 ,0 0 0 0 ,,0 ,4 ,0 O ,0 ,O ,2 ,14 ,18 ,15 ,19 ,20 ,22 ,14 ,0 
,0 ,,6 ,14 ,11 22 ,38 ,67 ,61 ,99 ,95 ,139 ,141 ,125 ,97 ,67 ,1 
1599 ,O 0 0 0 ,,O ,1 ,0 1 ,2 ,2 ,7 ,3 ,10 ,16 ,32 ,19 ,21 ,23 ,0 
1856 ,O 0 0 3 ,,2 ,2 ,0 1 ,2 ,6 ,19 ,60 ,70 ,115 ,182 ,176 ,112 ,90 ,2 
,0 ,,2 ,0 ,0 0 ,4 ,15 ,3 ,5 ,8 ,13 ,18 ,30 ,31 ,15 ,1 
670 ,0 0 2 1 ,,0 ,6 ,4 4 ,4 ,5 ,4 ,11 ,6 ,9 ,30 ,20 ,11 ,2 ,0 
1584 ,0 1 2 9 ,,16 ,14 ,18 16 ,26 ,83 ,114 ,147 ,236 ,327 ,496 ,525 ,493 ,233 ,10 
1199 ,O 0 1 8 ,,4 ,3 ,0 1 ,5 ,30 ,40 ,50 ,65 ,123 ,178 ,185 ,196 ,64 ,1 
,21 ,,29 ,22 ,13 22 ,26 ,80 ,139 ,201 ,228 ,300 ,404 ,388 ,420 ,239 ,4 
2127 ,0 0 0 0 ,,0 ,0 ,0 0 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,3 ,17 ,9 ,1 
- ,0 0 0 1 ,,3 ,2 ,1 1 ,0 ,0 ,11 ,8 ,5 ,42 ,35 ,44 ,77 ,102 ,10 
